author_id,publication_year,institution_ids,institution_names,institution_categories
A5103069680,2022,I1291425158,Google (United States),company;unknown
A5069576651,2022,I97018004,Stanford University,education;unknown
A5045077843,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5026064427,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5059460567,2022,,,unknown
A5060347694,2022,,,unknown
A5074322007,2022,,,unknown
A5061512999,2022,,,unknown
A5000115067,2022,I1291425158,Google (United States),company;unknown
A5028125399,2022,,,unknown
A5015518638,2022,,,unknown
A5003562101,2022,,,unknown
A5025255782,2022,I97018004,Stanford University,education;unknown
A5011889606,2022,,,unknown
A5004353092,2022,,,unknown
A5103525627,2022,,,unknown
A5061613634,2022,,,unknown
A5073571802,2022,,,unknown
A5074059447,2022,,,unknown
A5063925941,2022,,,unknown
A5103133745,2022,I2800717037;I33213144;I4390039331,UF Health Cancer Center;University of Florida;University of Florida Health,education;healthcare
A5004483523,2022,I2800717037;I33213144;I4390039331,UF Health Cancer Center;University of Florida;University of Florida Health,education;healthcare
A5009065821,2022,I4210127875,Nvidia (United States),company;unknown
A5112748839,2022,I4210127875,Nvidia (United States),company;unknown
A5089553213,2022,I4210127875,Nvidia (United States),company;unknown
A5001562064,2022,I4210127875,Nvidia (United States),company;unknown
A5054618681,2022,I4210127875,Nvidia (United States),company;unknown
A5104053092,2022,I4210127875,Nvidia (United States),company;unknown
A5068151024,2022,I4210127875,Nvidia (United States),company
A5031887767,2022,I4210127875,Nvidia (United States),company;unknown
A5100643464,2022,I33213144,University of Florida,education
A5045150730,2022,I33213144,University of Florida,education;unknown
A5017766297,2022,I33213144,University of Florida,education;unknown
A5039309602,2022,I1335043937;I2800717037;I33213144;I61515104,UF Health Shands Hospital;University of Florida;University of Florida Health;University of Florida Health Science Center,education;healthcare;unknown
A5087959258,2022,I33213144,University of Florida,education;unknown
A5076610873,2022,I33213144,University of Florida,education;unknown
A5026803588,2022,I33213144,University of Florida,education;unknown
A5030951014,2022,I2800717037;I33213144;I4390039331,UF Health Cancer Center;University of Florida;University of Florida Health,education;healthcare;unknown
A5010253402,2022,I2800717037;I33213144;I4390039331;I94062374,Florida College;UF Health Cancer Center;University of Florida;University of Florida Health,education;healthcare
A5063020928,2022,I40120149;I4210156221,Allen Institute for Artificial Intelligence;University of Oxford,education;nonprofit;unknown
A5110691380,2022,,,unknown
A5032652614,2022,,,unknown
A5051582703,2022,I57206974,New York University,education;unknown
A5076998770,2022,,,unknown
A5075173651,2022,I4210090411,Google DeepMind (United Kingdom),company;unknown
A5020758501,2022,I4210090411,Google DeepMind (United Kingdom),company;unknown
A5067022550,2022,,,unknown
A5029924588,2022,,,unknown
A5066862727,2022,,,unknown
A5086001486,2022,,,unknown
A5008790038,2022,,,unknown
A5025210358,2022,,,unknown
A5055400312,2022,,,unknown
A5039232395,2022,,,unknown
A5052435039,2022,,,unknown
A5004625775,2022,,,unknown
A5009345506,2022,,,unknown
A5008158115,2022,,,unknown
A5053301405,2022,,,unknown
A5038743835,2022,I74973139,Carnegie Mellon University,education;unknown
A5107243336,2022,I74973139,Carnegie Mellon University,education;unknown
A5068811427,2022,I74973139,Carnegie Mellon University,education;unknown
A5009679905,2022,I74973139,Carnegie Mellon University,education;unknown
A5055949685,2022,I4210087915,Massachusetts General Hospital,healthcare
A5080358515,2022,I27804330;I2801652605,Brown University;Warren Alpert Foundation,education;nonprofit
A5015894459,2022,,,unknown
A5087687954,2022,,,unknown
A5003016349,2022,,,unknown
A5072923710,2022,,,unknown
A5069780423,2022,,,unknown
A5071379154,2022,,,unknown
A5079156966,2022,,,unknown
A5001189652,2022,I1300699541,SeaWorld Entertainment,unknown
A5026590179,2022,I1300699541,SeaWorld Entertainment,unknown
A5063822345,2022,I200769079,Hong Kong University of Science and Technology,education
A5100678675,2022,I78988378,Renmin University of China,education
A5100657565,2022,I200769079,Hong Kong University of Science and Technology,education
A5127820429,2022,,,unknown
A5018507768,2022,,,unknown
A5127835223,2022,,,unknown
A5010575626,2022,,,unknown
A5127857043,2022,,,unknown
A5078446912,2022,I1291425158,Google (United States),company;unknown
A5127781003,2022,,,unknown
A5020034316,2022,I1291425158,Google (United States),company
A5069648186,2022,I1291425158,Google (United States),company
A5019880413,2022,I1291425158,Google (United States),company;unknown
A5022994077,2022,I1291425158;I36788626;I4210103399;I4210113520;I79576946,Brain (Germany);California University of Pennsylvania;Google (United States);Saudi Heart Association;University of Pennsylvania,company;education;nonprofit;unknown
A5064114707,2022,I9927081,Aalto University,education;unknown
A5032890999,2022,I154130895;I9927081,Aalto University;University of Auckland,education;unknown
A5076828114,2022,I9927081,Aalto University,education;unknown
A5041367899,2022,I9927081,Aalto University,education;unknown
A5057172764,2022,I2801851002,Harvard University Press,unknown
A5100437453,2022,I219193219,Purdue University West Lafayette,education
A5045866597,2022,I136199984,Harvard University,education
A5110082245,2022,,,unknown
A5112392207,2022,,,unknown
A5069420168,2022,,,unknown
A5089419558,2022,I78577930,Columbia University,education;unknown
A5028132575,2022,,,unknown
A5031717137,2022,,,unknown
A5051924949,2022,,,unknown
A5081114983,2022,,,unknown
A5080857815,2022,,,unknown
A5103213414,2022,,,unknown
A5068234077,2022,,,unknown
A5110925811,2022,,,unknown
A5027198497,2022,,,unknown
A5010938443,2022,,,unknown
A5060880191,2022,,,unknown
A5012276327,2022,,,unknown
A5004225142,2022,I201448701,University of Washington,education;unknown
A5015483503,2022,I1291425158,Google (United States),company
A5065663195,2022,I1291425158,Google (United States),company;unknown
A5027454515,2022,,,unknown
A5047463591,2022,,,unknown
A5059213795,2022,,,unknown
A5063201022,2022,,,unknown
A5051828575,2022,,,unknown
A5030765685,2022,,,unknown
A5088063475,2022,,,unknown
A5069557194,2022,,,unknown
A5021812637,2022,I97018004,Stanford University,education;unknown
A5014637990,2022,,,unknown
A5058677067,2022,,,unknown
A5090718376,2022,,,unknown
A5061380147,2022,,,unknown
A5019198296,2022,,,unknown
A5055969617,2022,,,unknown
A5086361722,2022,,,unknown
A5044698998,2022,,,unknown
A5109223020,2022,,,unknown
A5068955381,2022,,,unknown
A5065128060,2022,I1291425158,Google (United States),company;unknown
A5070366042,2022,,,unknown
A5057932939,2022,,,unknown
A5057195145,2022,,,unknown
A5078784976,2022,,,unknown
A5022388476,2022,,,unknown
A5043862316,2022,,,unknown
A5010171106,2022,,,unknown
A5003509342,2022,,,unknown
A5103234563,2022,,,unknown
A5088961661,2022,,,unknown
A5053402317,2022,I22465464,University of Münster,education;unknown
A5041547937,2022,,,unknown
A5100693798,2022,,,unknown
A5013431623,2022,,,unknown
A5070962435,2022,,,unknown
A5049841140,2022,,,unknown
A5100399461,2022,,,unknown
A5090351022,2022,,,unknown
A5007588003,2022,,,unknown
A5101315776,2022,,,unknown
A5024842018,2022,,,unknown
A5077034022,2022,,,unknown
A5014847122,2022,,,unknown
A5088551093,2022,,,unknown
A5081408444,2022,,,unknown
A5058655480,2022,,,unknown
A5020982818,2022,,,unknown
A5020349176,2022,,,unknown
A5047123961,2022,,,unknown
A5040821130,2022,,,unknown
A5042646536,2022,,,unknown
A5032046813,2022,I4210155268,Salesforce (United States),company;unknown
A5042822346,2022,I84392919,Temple University,education;unknown
A5074358617,2022,I84392919,Temple University,education;unknown
A5018361709,2022,I84392919,Temple University,education
A5034358464,2022,I84392919,Temple University,education;unknown
A5101169033,2022,I84392919,Temple University,education
A5090728280,2022,I36258959,University of California San Diego,education
A5068949174,2022,,,unknown
A5007570707,2022,,,unknown
A5103934038,2022,,,unknown
A5104285560,2022,,,unknown
A5022076965,2022,,,unknown
A5028772381,2022,,,unknown
A5100393899,2022,,,unknown
A5057289323,2022,,,unknown
A5022205442,2022,,,unknown
A5065002167,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5102168278,2022,,,unknown
A5007861777,2022,I40120149,University of Oxford,education;unknown
A5011207305,2022,,,unknown
A5037192369,2022,,,unknown
A5011719782,2022,,,unknown
A5030305998,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5010674841,2022,,,unknown
A5109502066,2022,,,unknown
A5090592321,2022,,,unknown
A5038882588,2022,,,unknown
A5045401706,2022,I1291425158,Google (United States),company;unknown
A5060902208,2022,I1291425158,Google (United States),company
A5003894415,2022,I1291425158,Google (United States),company
A5037935952,2022,I1291425158,Google (United States),company
A5066462000,2022,I1291425158,Google (United States),company;unknown
A5084459196,2022,,,unknown
A5056219662,2022,I175594653,John Brown University,education;unknown
A5049805631,2022,,,unknown
A5069794837,2022,,,unknown
A5010238198,2022,,,unknown
A5043151044,2022,,,unknown
A5062546146,2022,I205783295,Cornell University,education;unknown
A5028631317,2022,I72816309,Drexel University,education
A5036766367,2022,I72816309,Drexel University,education
A5127777713,2022,,,unknown
A5127809640,2022,,,unknown
A5023625891,2022,,,unknown
A5050341583,2022,,,unknown
A5079540764,2022,,,unknown
A5057457287,2022,,,unknown
A5085443636,2022,,,unknown
A5052454696,2022,,,unknown
A5110193634,2022,,,unknown
A5028501178,2022,,,unknown
A5026789962,2022,,,unknown
A5005308581,2022,,,unknown
A5057834767,2022,,,unknown
A5027632940,2022,,,unknown
A5021334672,2022,,,unknown
A5048025708,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5001087250,2022,,,unknown
A5021878400,2022,,,unknown
A5019297976,2022,,,unknown
A5100721790,2022,,,unknown
A5071599724,2022,,,unknown
A5090477236,2022,,,unknown
A5052263308,2022,,,unknown
A5014400463,2022,,,unknown
A5089543053,2022,,,unknown
A5018113047,2022,,,unknown
A5078519761,2022,I1291425158;I2252078561,Google (United States);Meta (Israel),company;unknown
A5009110297,2022,,,unknown
A5069544528,2022,,,unknown
A5012998255,2022,,,unknown
A5090145147,2022,,,unknown
A5016302450,2022,I1291425158,Google (United States),company;unknown
A5082383881,2022,,,unknown
A5030875603,2022,,,unknown
A5039609347,2022,,,unknown
A5029678131,2022,,,unknown
A5069649243,2022,,,unknown
A5050218314,2022,,,unknown
A5107896946,2022,,,unknown
A5065754485,2022,,,unknown
A5015793563,2022,,,unknown
A5033596864,2022,,,unknown
A5070268107,2022,,,unknown
A5101597225,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5023470556,2022,,,unknown
A5059267294,2022,,,unknown
A5019210292,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5014681596,2022,,,unknown
A5084512458,2022,,,unknown
A5066539391,2022,,,unknown
A5101561897,2022,I1291425158;I205783295;I4210113520,Brain (Germany);Cornell University;Google (United States),company;education;unknown
