institution_id,institution_display_name,institution_type,institution_country_code,simplified_institution_category,target_firm_label
I2800717037,University of Florida Health,education,US,education,Other
I33213144,University of Florida,education,US,education,Other
I4390039331,UF Health Cancer Center,healthcare,,healthcare,Other
I4210127875,Nvidia (United States),company,US,company,NVIDIA
I94062374,Florida College,education,US,education,Other
I74973139,Carnegie Mellon University,education,US,education,Other
I4210087915,Massachusetts General Hospital,healthcare,US,healthcare,Other
I27804330,Brown University,education,US,education,Other
I2801652605,Warren Alpert Foundation,nonprofit,US,nonprofit,Other
I1300699541,SeaWorld Entertainment,other,US,unknown,Other
I200769079,Hong Kong University of Science and Technology,education,HK,education,Other
I78988378,Renmin University of China,education,CN,education,Other
I1291425158,Google (United States),company,US,company,Google / Google DeepMind / DeepMind
I9927081,Aalto University,education,FI,education,Other
I154130895,University of Auckland,education,NZ,education,Other
I2801851002,Harvard University Press,other,US,unknown,Other
I219193219,Purdue University West Lafayette,education,US,education,Other
I136199984,Harvard University,education,US,education,Other
I201448701,University of Washington,education,US,education,Other
I22465464,University of Münster,education,DE,education,Other
I84392919,Temple University,education,US,education,Other
I36258959,University of California San Diego,education,US,education,Other
I175594653,John Brown University,education,US,education,Other
I205783295,Cornell University,education,US,education,Other
I72816309,Drexel University,education,US,education,Other
I32480017,Florida Polytechnic University,education,US,education,Other
I2613432,University of South Florida,education,US,education,Other
I79576946,University of Pennsylvania,education,US,education,Other
I32971472,Yale University,education,US,education,Other
I100930933,University College Dublin,education,IE,education,Other
I181231927,National University of Ireland,education,IE,education,Other
I4654613,University of Warsaw,education,PL,education,Other
I142263535,University of Nottingham,education,GB,education,Other
I172675005,Nanyang Technological University,education,SG,education,Other
I74775410,Rice University,education,US,education,Other
I202697423,University of Zurich,education,CH,education,Other
I54157616,Swiss Finance Institute,education,CH,education,Other
I24185976,Sichuan University,education,CN,education,Other
I64852412,Sichuan University of Science and Engineering,education,CN,education,Other
I4210100430,Google (Switzerland),company,CH,company,Google / Google DeepMind / DeepMind
I5124864,École Polytechnique Fédérale de Lausanne,education,CH,education,Other
I151746483,University of Waterloo,education,CA,education,Other
I4210167039,ServiceNow (United States),company,US,company,Other
I100066346,University of Stuttgart,education,DE,education,Other
I4210137306,Stanford Medicine,healthcare,US,healthcare,Other
I97018004,Stanford University,education,US,education,Other
I2250653659,Tencent (China),company,CN,company,Other
I183067930,Shanghai Jiao Tong University,education,CN,education,Other
I189196454,The University of Texas at Arlington,education,US,education,Other
I4210159420,Shanghai Children's Hospital,healthcare,CN,healthcare,Other
I31512782,Technische Universität Darmstadt,education,DE,education,Other
I4210138519,DIPF | Leibniz Institute for Research and Information in Education,facility,DE,research_institute,Other
I4392021234,Hessian Center for Artificial Intelligence,facility,DE,research_institute,Other
I177802217,University of Mannheim,education,DE,education,Other
I204136569,The Open University,education,GB,education,Other
I60205797,Abilene Christian University,education,US,education,Other
I59270414,Indian Institute of Science Bangalore,education,IN,education,Other
I4432739,University of Bergen,education,NO,education,Other
I59422894,University of South Florida Sarasota–Manatee,education,US,education,Other
I138006243,University of Arizona,education,US,education,Other
I1335043937,UF Health Shands Hospital,healthcare,US,healthcare,Other
I61515104,University of Florida Health Science Center,education,US,education,Other
I40120149,University of Oxford,education,GB,education,Other
I4210156221,Allen Institute for Artificial Intelligence,nonprofit,US,nonprofit,Other
I24943067,Fudan University,education,CN,education,Other
I66867065,East China Normal University,education,CN,education,Other
I57206974,New York University,education,US,education,Other
I859038795,Virginia Tech,education,US,education,Other
I74656192,University of Göttingen,education,DE,education,Other
I1332474105,Mercedes-Benz (Germany),company,DE,company,Other
I71209653,Bocconi University,education,IT,education,Other
I1313323035,Russian Academy of Sciences,government,RU,government,Other
I157725225,University of Illinois Urbana-Champaign,education,US,education,Other
I63190737,"University at Buffalo, State University of New York",education,US,education,Other
I100005738,Brigham Young University,education,US,education,Other
I63966007,Massachusetts Institute of Technology,education,US,education,Other
I165779595,The University of Melbourne,education,AU,education,Other
I165932596,National University of Singapore,education,SG,education,Other
I4210107658,Machine Intelligence Research Labs,facility,US,research_institute,Other
I251424209,Universitat de Girona,education,ES,education,Other
I54009628,University of Bayreuth,education,DE,education,Other
I4210090411,Google DeepMind (United Kingdom),company,GB,company,Google / Google DeepMind / DeepMind
I122411786,California Institute of Technology,education,US,education,Other
I185261750,University of Toronto,education,CA,education,Other
I1341412227,IBM (United States),company,US,company,Other
I4210105678,Microsoft (Finland),company,FI,company,Microsoft
I5388228,University of Rochester,education,US,education,Other
I20089843,Princeton University,education,US,education,Other
I1311688040,Amazon (United States),company,US,company,Amazon
I192545095,United States Military Academy,education,US,education,Other
I28407311,University of Manchester,education,GB,education,Other
I2252078561,Meta (Israel),company,IL,company,Other
I13955877,Bar-Ilan University,education,IL,education,Other
I4210156583,Laboratoire d'Informatique de Paris-Nord,facility,FR,research_institute,Other
I178450904,Universidad Nacional de Educación a Distancia,education,ES,education,Other
I4210103399,Saudi Heart Association,nonprofit,SA,nonprofit,Other
I4210140341,Allen Institute,nonprofit,US,nonprofit,Other
I4210116052,Inception Institute of Artificial Intelligence,facility,AE,research_institute,Other
I2801239119,Australian Regenerative Medicine Institute,facility,AU,research_institute,Other
I4210113480,Mohamed bin Zayed University of Artificial Intelligence,education,AE,education,Other
I56590836,Monash University,education,AU,education,Other
I102134673,Linköping University,education,SE,education,Other
I156087764,"University of California, Merced",education,US,education,Other
I193775966,Yonsei University,education,KR,education,Other
I4403386650,Centre de Robotique,education,,education,Other
I98677209,University of Edinburgh,education,GB,education,Other
I118501908,National Research University Higher School of Economics,education,RU,education,Other
I1294991024,Air University,education,US,education,Other
I4387154232,AIR Institute,nonprofit,,nonprofit,Other
I177605424,Amherst College,education,US,education,Other
I24603500,University of Massachusetts Amherst,education,US,education,Other
I4210095624,Alibaba Group (United States),company,US,company,Other
I4210100255,Beijing Academy of Artificial Intelligence,other,CN,unknown,Other
I99065089,Tsinghua University,education,CN,education,Other
I4210122302,ShangHai JiAi Genetics & IVF Institute,healthcare,CN,healthcare,Other
I39804081,Sorbonne Université,education,FR,education,Other
I4389425355,"Sciences, Normes, Démocratie",facility,FR,research_institute,Other
I55016150,Manav Rachna International Institute of Research and Studies,education,IN,education,Other
I1323093577,BML Munjal University,education,IN,education,Other
I114027177,University of North Carolina at Chapel Hill,education,US,education,Other
I1333535994,University of North Carolina Health Care,healthcare,US,healthcare,Other
I91136226,University of Sheffield,education,GB,education,Other
I1305429384,JPMorgan Chase & Co (United States),company,US,company,Other
I130701444,Georgia Institute of Technology,education,US,education,Other
I68891433,Indian Institute of Technology Delhi,education,IN,education,Other
I4210086768,Max Planck Institute for Empirical Aesthetics,facility,DE,research_institute,Other
I174306211,Technion – Israel Institute of Technology,education,IL,education,Other
I16391192,Tel Aviv University,education,IL,education,Other
I4210099312,Shandong Jiaotong University,education,CN,education,Other
I142606810,Pacific Northwest National Laboratory,facility,US,research_institute,Other
I120156002,Boise State University,education,US,education,Other
I4210155084,Computer Based Training for Cognitive Behavioral Therapy,facility,US,research_institute,Other
I96673099,Technical University of Denmark,education,DK,education,Other
I124055696,University of Copenhagen,education,DK,education,Other
I3018001382,AIMST University,education,MY,education,Other
I2802567020,Copenhagen University Hospital,healthcare,DK,healthcare,Other
I2802709434,Rigshospitalet,healthcare,DK,healthcare,Other
I4210111817,Denmark Technical College,education,US,education,Other
I156983542,Jordan University of Science and Technology,education,JO,education,Other
I24676775,Indian Institute of Technology Madras,education,IN,education,Other
I2801134892,Novo Nordisk Foundation,facility,DK,research_institute,Other
I139759216,Beijing University of Posts and Telecommunications,education,CN,education,Other
I4210113369,Microsoft Research Asia (China),company,CN,company,Microsoft
I1290206253,Microsoft (United States),company,US,company,Microsoft
I20231570,Peking University,education,CN,education,Other
I60922564,Naver (South Korea),company,KR,company,Other
I20121455,Bielefeld University,education,DE,education,Other
I203082224,Hochschule Bielefeld,education,DE,education,Other
I4210137396,Centre de Recherche en Économie et Statistique,facility,FR,research_institute,Other
I45129253,University College London,education,GB,education,Other
I84009706,ENSAE Paris,education,FR,education,Other
I2802641067,Leverhulme Trust,nonprofit,GB,nonprofit,Other
I4210087059,Technology Innovation Institute,facility,AE,research_institute,Other
I1299303238,National Institutes of Health,government,US,government,Other
I4210088243,National Institute of Biomedical Imaging and Bioengineering,facility,US,research_institute,Other
I4210140884,National Cancer Institute,government,US,government,Other
I4210155647,National Institutes of Health Clinical Center,healthcare,US,healthcare,Other
I111979921,Northwestern University,education,US,education,Other
I2800548410,United States National Library of Medicine,archive,US,research_institute,Other
I3131163126,Negros Oriental State University,education,PH,education,Other
I241749,University of Cambridge,education,GB,education,Other
I40347166,University of Chicago,education,US,education,Other
I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,government,FR,government,Other
I277688954,Université Paris-Saclay,education,FR,education,Other
I4210126360,Centre Inria de Saclay,facility,FR,research_institute,Other
I4210128565,CEA Paris-Saclay,government,FR,government,Other
I1294671590,Centre National de la Recherche Scientifique,government,FR,government,Other
I2746051580,Université Paris Sciences et Lettres,education,FR,education,Other
I29607241,École Normale Supérieure - PSL,other,FR,unknown,Other
I4210103330,École Normale Supérieure,education,BI,education,Other
I4210114444,Meta (United States),company,US,company,Other
I4210114522,Institut Jean Nicod,facility,FR,research_institute,Other
I4210127509,Vector Institute,facility,CA,research_institute,Other
I109736498,Canadian Institute for Advanced Research,facility,CA,research_institute,Other
I150468666,Emory University,education,US,education,Other
I59553526,Stony Brook University,education,US,education,Other
I191420491,Universidad de Jaén,education,ES,education,Other
I4210155419,Center for Systems Biology,facility,US,research_institute,Other
I4210088242,ProterixBio (United States),company,US,company,Other
I78577930,Columbia University,education,US,education,Other
I2799503643,Columbia University Irving Medical Center,healthcare,US,healthcare,Other
I4391012619,Shanghai Artificial Intelligence Laboratory,facility,,research_institute,Other
I4210114105,Tsinghua–Berkeley Shenzhen Institute,facility,CN,research_institute,Other
I889458895,University of Hong Kong,education,HK,education,Other
I123900574,Pohang University of Science and Technology,education,KR,education,Other
I2250650973,Samsung (South Korea),company,KR,company,Other
I87445476,Xi'an Jiaotong University,education,CN,education,Other
I1311191458,La Jolla Institute for Immunology,nonprofit,US,nonprofit,Other
I4210124949,Microsoft Research (India),company,IN,company,Microsoft
I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,education,DE,education,Other
I131579929,Mansfield University,education,US,education,Other
I1325290502,Economic Policy Institute,nonprofit,US,nonprofit,Other
I4210100468,University Hospital of Zurich,funder,CH,unknown,Other
I4210148186,Google (Canada),company,CA,company,Google / Google DeepMind / DeepMind
I84218800,"University of California, Davis",education,US,education,Other
I197251160,Hebrew University of Jerusalem,education,IL,education,Other
I124227911,Ben-Gurion University of the Negev,education,IL,education,Other
I4210113520,Brain (Germany),company,DE,company,Other
I36788626,California University of Pennsylvania,education,US,education,Other
I4210149706,New College,education,GB,education,Other
I1174212,University of Southern California,education,US,education,Other
I2800817003,California Southern University,education,US,education,Other
I4210113821,"Indian Institute of Information Technology, Pune",education,IN,education,Other
I182534213,Universidade do Porto,education,PT,education,Other
I4210142583,Snap (United States),company,US,company,Other
I4210166615,INESC TEC,nonprofit,PT,nonprofit,Other
I79510175,Cardiff University,education,GB,education,Other
