source,target,weight,work_count,years,work_ids,distance
I100005738,I86519309,1,1,2024,W4405130811,1.0
I100005738,I91203450,1,1,2024,W4405130811,1.0
I100005738,I162577319,1,1,2024,W4405944507,1.0
I100005738,I4210110242,1,1,2024,W4405944507,1.0
I100005738,I4210118244,1,1,2024,W4405944507,1.0
I100066346,I183874917,1,1,2024,W4394769544,1.0
I100066346,I3020504353,1,1,2024,W4396832714,1.0
I100191712,I103635307,1,1,2024,W4390943000,1.0
I100191712,I161318765,1,1,2024,W4390943000,1.0
I100205273,I79238269,1,1,2024,W4403500927,1.0
I100288624,I184983240,1,1,2024,W4405194283,1.0
I100288624,I19820366,1,1,2024,W4405194283,1.0
I100288624,I23923803,1,1,2024,W4405194283,1.0
I100288624,I2799300731,1,1,2024,W4405194283,1.0
I100288624,I4210112230,1,1,2024,W4405194283,1.0
I100288624,I4210128584,1,1,2024,W4405194283,1.0
I100288624,I4210139738,1,1,2024,W4405194283,1.0
I10052268,I154425047,1,1,2024,W4391399751,1.0
I10052268,I158552681,1,1,2024,W4391399751,1.0
I10052268,I4210164862,1,1,2024,W4391399751,1.0
I10052268,I92869138,1,1,2024,W4391399751,1.0
I10052268,RAW_XAI,1,1,2024,W4391399751,1.0
I10052268,I155781252,1,1,2024,W4399177300,1.0
I10052268,I30667456,1,1,2024,W4399177300,1.0
I10052268,I79940851,1,1,2024,W4399177300,1.0
I100532134,I106785703,1,1,2024,W4389834551,1.0
I100532134,I113428412,1,1,2024,W4389834551,1.0
I100532134,I1294671590,1,1,2024,W4389834551,1.0
I100532134,I4210101573,1,1,2024,W4389834551,1.0
I100532134,I4210104430,1,1,2024,W4389834551,1.0
I100532134,I4210144566,1,1,2024,W4389834551,1.0
I100532134,I899635006,1,1,2024,W4389834551,1.0
I100538780,I14303183,1,1,2024,W4404549793,1.0
I10091056,I146500386,2,2,2024,W4392621058;W4396700254,0.5
I10091056,I91947458,1,1,2024,W4392621058,1.0
I10091056,I137975476,1,1,2024,W4396700254,1.0
I100930933,I1351752,1,1,2024,W4390748754,1.0
I100930933,I154130895,2,2,2024,W4390985631;W4392564669,0.5
I100930933,I60205797,3,3,2024,W4390985631;W4392564669;W4401379837,0.3333333333333333
I100930933,I9927081,2,2,2024,W4390985631;W4401379837,0.5
I100930933,I185261750,1,1,2024,W4392564669,1.0
I100930933,I2799376586,1,1,2024,W4392564669,1.0
I100930933,I181231927,1,1,2024,W4399925880,1.0
I100930933,I32971472,1,1,2024,W4399925880,1.0
I100930933,I84392919,1,1,2024,W4401379837,1.0
I100930933,I135140700,1,1,2024,W4402713326,1.0
I100930933,I180519160,1,1,2024,W4402713326,1.0
I100930933,I1850255,1,1,2024,W4402713326,1.0
I100930933,I20089843,1,1,2024,W4402713326,1.0
I100930933,I29955533,1,1,2024,W4402713326,1.0
I100930933,I39343248,1,1,2024,W4402713326,1.0
I100930933,I40120149,1,1,2024,W4402713326,1.0
I100930933,I4210090411,1,1,2024,W4402713326,1.0
I100930933,I4210113297,1,1,2024,W4402713326,1.0
I100930933,I4210119286,1,1,2024,W4402713326,1.0
I100930933,I4210120221,1,1,2024,W4402713326,1.0
I100930933,I4210143272,1,1,2024,W4402713326,1.0
I100930933,I4210164149,1,1,2024,W4402713326,1.0
I100930933,I42934936,1,1,2024,W4402713326,1.0
I100930933,I4387154616,1,1,2024,W4402713326,1.0
I100930933,I45129253,1,1,2024,W4402713326,1.0
I100930933,I4923324,1,1,2024,W4402713326,1.0
I100930933,I63966007,1,1,2024,W4402713326,1.0
I100930933,I74973139,1,1,2024,W4402713326,1.0
I100930933,I97018004,1,1,2024,W4402713326,1.0
I100930933,I98259816,1,1,2024,W4402713326,1.0
I100930933,I123534392,1,1,2024,W4405861053,1.0
I100930933,I28022161,1,1,2024,W4405861053,1.0
I100930933,I55240360,1,1,2024,W4405861053,1.0
I100930933,I87482320,1,1,2024,W4405861053,1.0
I101155339,I4575257,1,1,2024,W4395020691,1.0
I101407740,I110360157,2,2,2024,W4399306094;W4401884437,0.5
I101407740,I74319210,1,1,2024,W4399306094,1.0
