source,target,weight,work_count,years,work_ids,distance
I100005738,I197572798,1,1,2022,W4291015437,1.0
I100005738,I71966907,1,1,2022,W4291015437,1.0
I100005738,I1174212,1,1,2023,W4389385783,1.0
I100005738,I223532165,1,1,2023,W4389385783,1.0
I100005738,I86519309,1,1,2024,W4405130811,1.0
I100005738,I91203450,1,1,2024,W4405130811,1.0
I100005738,I162577319,1,1,2024,W4405944507,1.0
I100005738,I4210110242,1,1,2024,W4405944507,1.0
I100005738,I4210118244,1,1,2024,W4405944507,1.0
I100005738,I1283280774,1,1,2025,W4408108874,1.0
I100005738,I1288882113,1,1,2025,W4408108874,1.0
I100005738,I1291425158,1,1,2025,W4408108874,1.0
I100005738,I136199984,1,1,2025,W4408108874,1.0
I100005738,I201448701,1,1,2025,W4408108874,1.0
I100005738,I2802835388,1,1,2025,W4408108874,1.0
I100005738,I4210109586,1,1,2025,W4408108874,1.0
I100005738,I4210142372,1,1,2025,W4408108874,1.0
I100005738,I4210150980,1,1,2025,W4408108874,1.0
I100005738,I63966007,1,1,2025,W4408108874,1.0
I100005738,I74973139,1,1,2025,W4408108874,1.0
I100005738,I78577930,1,1,2025,W4408108874,1.0
I100066346,I2613432,1,1,2022,W4285255087,1.0
I100066346,I4210088543,1,1,2022,W4285255087,1.0
I100066346,I36258959,2,2,2022;2023,W4311408938;W4387378202,0.5
I100066346,I4210137306,2,2,2022;2023,W4311408938;W4387378202,0.5
I100066346,I97018004,2,2,2022;2023,W4311408938;W4387378202,0.5
I100066346,I12912129,1,1,2023,W4389104713,1.0
I100066346,I154425047,1,1,2023,W4389104713,1.0
I100066346,I873043661,1,1,2023,W4389104713,1.0
I100066346,I183874917,1,1,2024,W4394769544,1.0
I100066346,I3020504353,1,1,2024,W4396832714,1.0
I100066346,I183935753,1,1,2025,W4406869923,1.0
I100066346,I4210166865,1,1,2025,W4406869923,1.0
I100066346,I9360294,1,1,2025,W4406869923,1.0
I100066346,I119449181,1,1,2025,W4408150519,1.0
I100066346,I23923803,1,1,2025,W4408150519,1.0
I100066346,I82880672,1,1,2025,W4408150519,1.0
I100066346,I118905719,1,1,2025,W4408614177,1.0
I100066346,I1292875679,1,1,2025,W4408614177,1.0
I100066346,I157413458,1,1,2025,W4408614177,1.0
I100066346,I16835326,1,1,2025,W4408614177,1.0
I100066346,I186903577,1,1,2025,W4408614177,1.0
I100066346,I26092322,1,1,2025,W4408614177,1.0
I100066346,I42894916,1,1,2025,W4408614177,1.0
I100066346,I75917431,1,1,2025,W4408614177,1.0
I100066346,I95674353,1,1,2025,W4408614177,1.0
I100066346,I31582689,1,1,2025,W4409200269,1.0
I100066346,I62318514,1,1,2025,W4409200269,1.0
I100066346,I79891267,1,1,2025,W4411272222,1.0
I100066346,I84218800,2,2,2025,W4411272222;W4411551762,0.5
I100066346,I143288331,1,1,2025,W4413644452,1.0
I100066346,I100532134,1,1,2025,W4416191329,1.0
I100066346,I123387679,1,1,2025,W4416191329,1.0
I100066346,I1288214837,1,1,2025,W4416191329,1.0
I100066346,I1294671590,1,1,2025,W4416191329,1.0
I100066346,I1330165540,1,1,2025,W4416191329,1.0
I100066346,I141945490,1,1,2025,W4416191329,1.0
I100066346,I148283060,1,1,2025,W4416191329,1.0
I100066346,I155781252,1,1,2025,W4416191329,1.0
I100066346,I162524378,1,1,2025,W4416191329,1.0
I100066346,I20089843,1,1,2025,W4416191329,1.0
I100066346,I21491767,1,1,2025,W4416191329,1.0
I100066346,I241749,1,1,2025,W4416191329,1.0
I100066346,I27837315,1,1,2025,W4416191329,1.0
I100066346,I2800875726,1,1,2025,W4416191329,1.0
I100066346,I3019562804,1,1,2025,W4416191329,1.0
I100066346,I39555362,1,1,2025,W4416191329,1.0
I100066346,I40120149,1,1,2025,W4416191329,1.0
I100066346,I4210087885,1,1,2025,W4416191329,1.0
I100066346,I4210096386,1,1,2025,W4416191329,1.0
I100066346,I4210107707,1,1,2025,W4416191329,1.0
I100066346,I4210109704,1,1,2025,W4416191329,1.0
I100066346,I4210111246,1,1,2025,W4416191329,1.0
I100066346,I4210121240,1,1,2025,W4416191329,1.0
I100066346,I4210138066,1,1,2025,W4416191329,1.0
I100066346,I4210144005,1,1,2025,W4416191329,1.0
I100066346,I4210146410,1,1,2025,W4416191329,1.0
I100066346,I4210160450,1,1,2025,W4416191329,1.0
I100066346,I4387154989,1,1,2025,W4416191329,1.0
I100066346,I45129253,1,1,2025,W4416191329,1.0
I100066346,I48430043,1,1,2025,W4416191329,1.0
I100066346,I5124864,1,1,2025,W4416191329,1.0
I100066346,I52710748,1,1,2025,W4416191329,1.0
I100066346,I54009628,1,1,2025,W4416191329,1.0
I100066346,I76198965,1,1,2025,W4416191329,1.0
I100066346,I84884186,1,1,2025,W4416191329,1.0
I100066346,I889804353,1,1,2025,W4416191329,1.0
I100066346,I91275662,1,1,2025,W4416191329,1.0
I100066346,I95457486,1,1,2025,W4416191329,1.0
I100066346,I96673099,1,1,2025,W4416191329,1.0
I100116408,I11892038,1,1,2025,W4410188329,1.0
I100116408,I233754661,1,1,2025,W4410188329,1.0
I100116408,I2799567373,1,1,2025,W4410188329,1.0
I100116408,I37797678,1,1,2025,W4410188329,1.0
I100116408,I4210133696,1,1,2025,W4410188329,1.0
I100116408,I870124129,1,1,2025,W4410188329,1.0
I100135526,I126744593,1,1,2022,W4205938604,1.0
I100135526,I149521062,1,1,2022,W4205938604,1.0
I100135526,I191208505,1,1,2022,W4205938604,1.0
I100135526,I211433327,1,1,2022,W4205938604,1.0
I100135526,I4210104201,1,1,2022,W4205938604,1.0
I100135526,I4210106122,1,1,2022,W4205938604,1.0
