id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,I100005738,Brigham Young University,education,education,Other,US,3,0.0006215040397762585,2.0,0.0,9.062302127613699e-28,0
I100066346,I100066346,University of Stuttgart,education,education,Other,DE,3,0.0015537600994406462,5.0,0.00015989268517443457,0.002288780080706479,1
I100135526,I100135526,BGI Group (China),company,company,Other,CN,1,0.002486016159105034,8.0,0.0,0.0002781362403612701,47
I100288624,I100288624,John Innes Centre,facility,research_institute,Other,GB,1,0.0006215040397762585,2.0,0.0,1.7264828102075792e-05,49
I100532134,I100532134,Université Claude Bernard Lyon 1,education,education,Other,FR,2,0.005904288377874455,19.0,7.899781206327595e-06,0.005620919535950134,41
I100653424,I100653424,Yamashina Institute for Ornithology,facility,research_institute,Other,JP,1,0.0006215040397762585,2.0,0.0,9.062302127613699e-28,5
I100887729,I100887729,Andhra University,education,education,Other,IN,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,6
I100930933,I100930933,University College Dublin,education,education,Other,IE,7,0.00839030453697949,29.0,0.0010063542169170452,0.004483139094882226,114
I101202996,I101202996,Semmelweis University,education,education,Other,HU,1,0.0006215040397762585,2.0,0.0,2.9357964081643193e-06,8
I101326570,I101326570,National Institute of Technology Sikkim,education,education,Other,IN,1,0.0018645121193287756,6.0,0.0,7.63821917717232e-06,82
I101407740,I101407740,Chandigarh University,education,education,Other,IN,1,0.00031075201988812925,1.0,0.0,1.3379169621449213e-09,70
I102117144,I102117144,Banasthali University,education,education,Other,IN,1,0.0021752641392169046,7.0,0.0,1.5378735591036588e-07,82
I102134673,I102134673,Linköping University,education,education,Other,SE,2,0.009944064636420136,32.0,0.00015646206090393102,0.005803539736625426,11
I102149020,I102149020,University of North Carolina at Charlotte,education,education,Other,US,2,0.0015537600994406462,5.0,4.1858628728066317e-07,0.0020573158913866347,47
I102197404,I102197404,Université Paris-Sud,education,education,Other,FR,1,0.0015537600994406462,5.0,0.0,0.0018814082362750963,13
I102208913,I102208913,Shihezi University,education,education,Other,CN,3,0.0015537600994406462,6.0,0.0005167930700657419,1.7893709448125118e-05,47
I102322142,I102322142,"Rutgers, The State University of New Jersey",education,education,Other,US,8,0.011187072715972654,36.0,0.001590650429606173,0.004780763373670981,8
I102335020,I102335020,Karlsruhe Institute of Technology,education,education,Other,DE,3,0.010254816656308265,33.0,0.0008986789486763269,0.00740134857544428,11
I102401767,I102401767,University of Arkansas at Little Rock,education,education,Other,US,1,0.0,0.0,0.0,7.01741574200561e-36,15
I102461120,I102461120,Marquette University,education,education,Other,US,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,16
I102502594,I102502594,Northern Illinois University,education,education,Other,US,3,0.02113113735239279,71.0,4.3233050646198624e-05,0.04752422514020349,17
I102782458,I102782458,Chittagong University of Engineering & Technology,education,education,Other,BD,2,0.0006215040397762585,4.0,0.0,5.353863328556526e-24,18
I102893293,I102893293,State University of Malang,education,education,Other,ID,1,0.0,0.0,0.0,7.01741574200561e-36,19
I103163165,I103163165,Florida State University,education,education,Other,US,4,0.02082038533250466,67.0,0.001132830420158513,0.019912282691408646,13
I103225651,I103225651,Fondazione Edmund Mach,other,unknown,Other,IT,1,0.013983840894965816,45.0,0.0,0.015054103733399542,20
I103320735,I103320735,Università Cattolica del Sacro Cuore,education,education,Other,IT,1,0.0015537600994406462,5.0,0.0,0.0002197910699769009,114
I103356709,I103356709,Obuda University,education,education,Other,HU,2,0.0021752641392169046,7.0,0.0,3.498662255184699e-05,47
I103531236,I103531236,Boston College,education,education,Other,US,2,0.0015537600994406462,5.0,0.0,0.002254820295332727,17
I103635307,I103635307,"University of California, Riverside",education,education,Other,US,3,0.0009322560596643878,5.0,0.0,0.002929357165304751,1
I103703290,I103703290,Sakarya University,education,education,Other,TR,1,0.0006215040397762585,2.0,0.0,2.320647495593348e-06,8
I103990859,I103990859,Pennington Biomedical Research Center,facility,research_institute,Other,US,1,0.004350528278433809,14.0,0.0,0.005085203057526907,47
I104854061,I104854061,Universidad Autónoma del Estado de Hidalgo,education,education,Other,MX,1,0.001243008079552517,4.0,0.0,5.353863328556524e-24,21
I104941359,I104941359,Al-Ahliyya Amman University,education,education,Other,JO,1,0.001243008079552517,4.0,0.0,4.8854187634738305e-06,8
I105094715,I105094715,National Institute of Technology Kurukshetra,education,education,Other,IN,3,0.0006215040397762585,3.0,1.931936710526138e-07,3.8456282601652815e-27,22
I105208703,I105208703,Almaty Management University,education,education,Other,KZ,1,0.002486016159105034,8.0,0.0,5.3696455672093756e-05,39
I10535382,I10535382,Chongqing University of Posts and Telecommunications,education,education,Other,CN,7,0.0009322560596643878,4.0,5.865493666955487e-05,2.501968821709517e-05,47
I105454292,I105454292,Guru Gobind Singh Indraprastha University,education,education,Other,IN,2,0.0027967681789931634,9.0,0.0031629941063856188,0.0006207806193707927,82
I106079672,I106079672,Hebei University of Engineering,education,education,Other,CN,2,0.0006215040397762585,2.0,0.0,7.431864513621122e-05,47
I106118109,I106118109,Eötvös Loránd University,education,education,Other,HU,2,0.0009322560596643878,3.0,0.0,1.9502112549904267e-06,49
I106165777,I106165777,University of Central Florida,education,education,Other,US,9,0.004350528278433809,15.0,0.0025163518002672904,0.0024828848629885876,47
I106245021,I106245021,Çankaya University,education,education,Other,TR,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,26
I10660446,I10660446,Kunming University of Science and Technology,education,education,Other,CN,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,27
I106778892,I106778892,Princess Nourah bint Abdulrahman University,education,education,Other,SA,3,0.002486016159105034,9.0,0.0005648048052533189,2.4361215637998186e-05,82
I106785703,I106785703,Institut polytechnique de Grenoble,education,education,Other,FR,3,0.0031075201988812924,14.0,8.371725745613262e-07,0.005389047069488864,13
I106826634,I106826634,Jain University,education,education,Other,IN,3,0.001243008079552517,4.0,0.0005167930700657419,2.2157383103582125e-07,8
I106841677,I106841677,Mother Teresa Women's University,education,education,Other,IN,1,0.00031075201988812925,1.0,0.0,1.3705311070747672e-05,75
I106969075,I106969075,Idaho State University,education,education,Other,US,2,0.0018645121193287756,6.0,0.002155306159698999,0.0006299429080813591,82
I106994412,I106994412,Sinopec (China),company,company,Other,CN,4,0.0031075201988812924,10.0,0.000500289491491773,0.0009654139239586011,47
I107077323,I107077323,Worcester Polytechnic Institute,education,education,Other,US,3,0.0027967681789931634,9.0,0.0005535295896689773,0.0014646051678692256,47
I107606265,I107606265,Broad Institute,nonprofit,nonprofit,Other,US,3,0.007147296457426973,28.0,4.787083228350325e-05,0.011582498312613695,114
I107639228,I107639228,University of Notre Dame,education,education,Other,US,2,0.0006215040397762585,2.0,2.4873685148024024e-06,7.957006052048764e-05,11
I107640659,I107640659,South Ural State University,education,education,Other,RU,3,0.0021752641392169046,7.0,0.0013991822576763452,0.00056305259070004,13
I107672454,I107672454,Dartmouth College,education,education,Other,US,7,0.02050963331261653,70.0,0.0006528475254306496,0.02270260864597132,13
I107720978,I107720978,Ain Shams University,education,education,Other,EG,4,0.0018645121193287756,6.0,0.0013013901336464456,6.798420172977534e-06,82
I107766831,I107766831,NSF National Center for Atmospheric Research,facility,research_institute,Other,US,2,0.009633312616532008,31.0,0.0001081491566902143,0.009226969536024672,13
I107851509,I107851509,Chinese Academy of Tropical Agricultural Sciences,government,government,Other,CN,1,0.0006215040397762585,2.0,0.0,9.062302127613699e-28,30
I108108428,I108108428,Thammasat University,education,education,Other,TH,1,0.0006215040397762585,2.0,0.0,0.0008356684962086793,47
I108160477,I108160477,Hebei Agricultural University,education,education,Other,CN,2,0.0009322560596643878,4.0,0.0,3.204413611305664e-06,47
I108192572,I108192572,HEC Montréal,education,education,Other,CA,2,0.005904288377874455,19.0,0.0001183796411761589,0.0034919281461763974,47
I108290504,I108290504,University of Pisa,education,education,Other,IT,4,0.012119328775637041,40.0,0.0005394277037206125,0.0076049626788503265,8
I108403487,I108403487,Warsaw University of Technology,education,education,Other,PL,1,0.0015537600994406462,5.0,0.0,3.255298732708414e-05,68
I108468826,I108468826,Stevens Institute of Technology,education,education,Other,US,1,0.0,0.0,0.0,7.01741574200561e-36,33
I108714496,I108714496,Tunis University,education,education,Other,TN,1,0.0006215040397762585,2.0,0.0,9.062302127613699e-28,34
I10902133,I10902133,Universitat Jaume I,education,education,Other,ES,1,0.0,0.0,0.0,7.01741574200561e-36,35
I109736498,I109736498,Canadian Institute for Advanced Research,facility,research_institute,Other,CA,3,0.007768800497203231,28.0,1.2589787563595334e-05,0.009496854416585883,11
I109935558,I109935558,Ningbo University,education,education,Other,CN,2,0.0009322560596643878,3.0,0.0,0.0011918630513832493,47
I109954829,I109954829,Agricultural University of Athens,education,education,Other,GR,1,0.004972032318210068,16.0,0.0,0.002148882327350641,75
I110002522,I110002522,University of Essex,education,education,Other,GB,2,0.004661280298321939,17.0,1.0625651907893758e-06,0.007028415090139143,41
I110026055,I110026055,Iscte – Instituto Universitário de Lisboa,education,education,Other,PT,1,0.0006215040397762585,2.0,0.0,9.062302127613699e-28,37
I110120368,I110120368,"National Agency for New Technologies, Energy and Sustainable Economic Development",government,government,Other,IT,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,38
I110166357,I110166357,University of Delhi,education,education,Other,IN,1,0.00031075201988812925,1.0,0.0,6.3519325295875875e-06,39
I11019714,I11019714,Universidade da Coruña,education,education,Other,ES,1,0.0,0.0,0.0,7.01741574200561e-36,40
I110440473,I110440473,Xi'an University of Science and Technology,education,education,Other,CN,1,0.001243008079552517,4.0,0.0,0.001821288875906007,13
I110507236,I110507236,Gates (United States),company,company,Other,US,1,0.0015537600994406462,5.0,0.0,0.0003150005249335327,47
I110594554,I110594554,Ikerbasque,other,unknown,Other,ES,2,0.007768800497203231,25.0,0.0004375444140108261,0.002458102194560653,114
I110736937,I110736937,Délégation Paris 5,government,government,Other,FR,1,0.014916096954630205,48.0,0.0,0.01759951535112384,114
I110757952,I110757952,Slovak University of Technology in Bratislava,education,education,Other,SK,1,0.0021752641392169046,7.0,0.0,3.498662255184699e-05,47
I111088046,I111088046,Boston University,education,education,Other,US,7,0.040087010565568675,134.0,0.0030913061513568704,0.06825159355440841,1
I111112146,I111112146,Tallinn University of Technology,education,education,Other,EE,3,0.001243008079552517,4.0,0.0,0.0007616482040135261,75
I111236770,I111236770,University of Vermont,education,education,Other,US,3,0.0037290242386575512,12.0,0.0,0.002578151148755344,41
