id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,I100005738,Brigham Young University,education,education,Other,US,9,0.002832097100472016,21.0,0.0004859498377529636,0.003444038598786652,0
I100066346,I100066346,University of Stuttgart,education,education,Other,DE,21,0.009305461901550911,73.0,0.0007917704530453166,0.006049998790098934,1
I100116408,I100116408,University of Port Harcourt,education,education,Other,NG,1,0.0008091706001348618,6.0,0.0,4.846997658509909e-08,2
I100135526,I100135526,BGI Group (China),company,company,Other,CN,2,0.0014834794335805799,12.0,1.0914089562110356e-07,0.002184569688047752,3
I100188998,I100188998,Harbin University of Science and Technology,education,education,Other,CN,1,0.00013486176668914363,1.0,0.0,0.00022295606705542126,3
I100191712,I100191712,Pepperdine University,education,education,Other,US,1,0.00026972353337828726,2.0,0.0,0.00015374310000585702,4
I100205273,I100205273,Universidad Técnica Particular de Loja,education,education,Other,EC,1,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,5
I100288624,I100288624,John Innes Centre,facility,research_institute,Other,GB,3,0.0013486176668914363,10.0,5.0932417956515e-07,0.0011045846875123444,6
I100296615,I100296615,École Nationale de l’Aviation Civile,education,education,Other,FR,1,0.0005394470667565745,4.0,0.0,1.7021975628911842e-05,7
I100357981,I100357981,Wannan Medical College,healthcare,healthcare,Other,CN,1,0.0004045853000674309,3.0,0.0,0.00011236185986103442,3
I100445878,I100445878,École Centrale de Nantes,education,education,Other,FR,1,0.0005394470667565745,4.0,0.0,0.0007386909042010196,8
I10052268,I10052268,New Mexico State University,education,education,Other,US,4,0.0012137559002022927,9.0,5.9936541845256e-06,0.00027565528929311564,9
I100532134,I100532134,Université Claude Bernard Lyon 1,education,education,Other,FR,9,0.010654079568442347,98.0,0.000769278017381285,0.005013940282111322,1
I100538780,I100538780,Wesleyan University,education,education,Other,US,1,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,10
I100621029,I100621029,Bank of America,other,unknown,Other,US,1,0.0,0.0,0.0,1.7276259771195807e-53,11
I100633361,I100633361,University of Massachusetts Dartmouth,education,education,Other,US,2,0.0,0.0,0.0,1.7276259771195807e-53,12
I100653424,I100653424,Yamashina Institute for Ornithology,facility,research_institute,Other,JP,1,0.00026972353337828726,2.0,0.0,1.807157792334881e-43,13
I100681346,I100681346,Forest Institute,education,education,Other,US,1,0.0004045853000674309,3.0,0.0,0.0001599322254783157,8
I100887729,I100887729,Andhra University,education,education,Other,IN,1,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,14
I10091056,I10091056,Kanazawa University,education,education,Other,JP,3,0.0008091706001348618,7.0,7.447047111213297e-05,0.0002384819106082547,15
I100930933,I100930933,University College Dublin,education,education,Other,IE,34,0.015913688469318947,195.0,0.003444168974713783,0.013231224266376018,0
I101100930,I101100930,Universidade Federal de Juiz de Fora,education,education,Other,BR,1,0.0005394470667565745,4.0,0.0,1.0455694987551473e-06,16
I101155339,I101155339,Korea Telecom (South Korea),company,company,Other,KR,2,0.00026972353337828726,2.0,0.0,1.2866974133069359e-06,15
I101202996,I101202996,Semmelweis University,education,education,Other,HU,5,0.002562373567093729,21.0,0.0007343484528035054,0.000645019339348826,8
I101326570,I101326570,National Institute of Technology Sikkim,education,education,Other,IN,1,0.0008091706001348618,6.0,0.0,1.4483536746262539e-06,4
I101407740,I101407740,Chandigarh University,education,education,Other,IN,9,0.0020229265003371545,16.0,0.00043051656002933154,5.972334463009436e-06,4
I101479585,I101479585,South China Agricultural University,education,education,Other,CN,3,0.001078894133513149,8.0,0.0002429476336525765,0.0003806524684573965,3
I102015815,I102015815,Christian Brothers University,education,education,Other,US,1,0.00013486176668914363,1.0,0.0,5.929647062256105e-40,17
I102064193,I102064193,University of Siena,education,education,Other,IT,4,0.0006743088334457181,5.0,0.0,0.00016568046195910676,16
I102117144,I102117144,Banasthali University,education,education,Other,IN,1,0.0009440323668240054,7.0,0.0,1.8125157288460633e-08,4
I102134673,I102134673,Linköping University,education,education,Other,SE,20,0.00890087660148348,74.0,0.0016746691196689288,0.0034150688532202282,1
I10213569,I10213569,Cape Breton University,education,education,Other,CA,1,0.0,0.0,0.0,1.7276259771195807e-53,18
I102149020,I102149020,University of North Carolina at Charlotte,education,education,Other,US,16,0.006203641267700607,54.0,0.00018434826989144858,0.003288247448853945,1
I102197404,I102197404,Université Paris-Sud,education,education,Other,FR,1,0.0006743088334457181,5.0,0.0,0.0002344198960696891,8
I102208913,I102208913,Shihezi University,education,education,Other,CN,3,0.0006743088334457181,6.0,0.0002429476336525765,0.00020156942437176076,16
I102239671,I102239671,Hamdan Bin Mohammed Smart University,education,education,Other,AE,1,0.0004045853000674309,3.0,0.0,4.109632074809024e-06,4
I102248843,I102248843,Vienna University of Economics and Business,education,education,Other,AT,6,0.0035064059339177346,26.0,1.2574330471927572e-05,0.0009023391653077642,19
I102272798,I102272798,INSEAD,education,education,Other,FR,2,0.001888064733648011,14.0,4.91134030294966e-07,0.0014268554870823559,1
I102322142,I102322142,"Rutgers, The State University of New Jersey",education,education,Other,US,49,0.02306136210384356,205.0,0.002561810668593576,0.021733351776755536,0
I102335020,I102335020,Karlsruhe Institute of Technology,education,education,Other,DE,17,0.008091706001348618,66.0,0.0028071393494757406,0.003740839816868874,1
I102345215,I102345215,Xihua University,education,education,Other,CN,1,0.00026972353337828726,2.0,0.0,1.9865101753679483e-07,6
I102398690,I102398690,National Natural Science Foundation of China,government,government,Other,CN,1,0.0008091706001348618,6.0,0.0,0.0001656028206279315,4
I102401767,I102401767,University of Arkansas at Little Rock,education,education,Other,US,1,0.0,0.0,0.0,1.7276259771195807e-53,20
I102461120,I102461120,Marquette University,education,education,Other,US,5,0.0008091706001348618,6.0,3.638029854036786e-07,2.9653047807707245e-05,4
I102502594,I102502594,Northern Illinois University,education,education,Other,US,4,0.009440323668240054,73.0,2.2737686587729915e-07,0.0076235457085764395,8
I102520234,I102520234,TH Köln - University of Applied Sciences,education,education,Other,DE,1,0.0,0.0,0.0,1.7276259771195807e-53,21
I102607778,I102607778,Cleveland State University,education,education,Other,US,1,0.0005394470667565745,4.0,0.0,0.0018117071127679582,3
I102669525,I102669525,Pelita Harapan University,education,education,Other,ID,1,0.00026972353337828726,2.0,0.0,6.816014113828831e-07,4
I102782458,I102782458,Chittagong University of Engineering & Technology,education,education,Other,BD,3,0.0005394470667565745,6.0,1.4552119416147141e-06,4.2424583530633284e-05,4
I102893293,I102893293,State University of Malang,education,education,Other,ID,2,0.00013486176668914363,1.0,0.0,1.8077108245924252e-08,4
I102913810,I102913810,Universiti Malaysia Pahang Al-Sultan Abdullah,education,education,Other,MY,2,0.0006743088334457181,5.0,0.0009713539710278216,5.134900334292135e-07,4
I103163165,I103163165,Florida State University,education,education,Other,US,14,0.010923803101820635,86.0,0.0011214431736430788,0.006039601850874447,7
I103193709,I103193709,Adamson University,education,education,Other,PH,1,0.0032366824005394474,24.0,0.0,0.00013500351277161355,4
