source,target,weight,work_count,years,work_ids,distance
A5000001330,A5002204723,1,1,2024,W4405669265,1.0
A5000001330,A5006818116,1,1,2024,W4405669265,1.0
A5000001330,A5010756260,1,1,2024,W4405669265,1.0
A5000001330,A5011177274,1,1,2024,W4405669265,1.0
A5000001330,A5019204613,1,1,2024,W4405669265,1.0
A5000001330,A5019494985,1,1,2024,W4405669265,1.0
A5000001330,A5023123863,1,1,2024,W4405669265,1.0
A5000001330,A5036188128,1,1,2024,W4405669265,1.0
A5000001330,A5037383835,1,1,2024,W4405669265,1.0
A5000001330,A5038969629,1,1,2024,W4405669265,1.0
A5000001330,A5041857260,1,1,2024,W4405669265,1.0
A5000001330,A5047070499,1,1,2024,W4405669265,1.0
A5000001330,A5062444950,1,1,2024,W4405669265,1.0
A5000001330,A5065108845,1,1,2024,W4405669265,1.0
A5000001330,A5066102693,1,1,2024,W4405669265,1.0
A5000001330,A5073496354,1,1,2024,W4405669265,1.0
A5000001330,A5074442659,1,1,2024,W4405669265,1.0
A5000001330,A5082626235,1,1,2024,W4405669265,1.0
A5000001330,A5100371280,1,1,2024,W4405669265,1.0
A5000001330,A5101037239,1,1,2024,W4405669265,1.0
A5000001330,A5114910293,1,1,2024,W4405669265,1.0
A5000001330,A5115577502,1,1,2024,W4405669265,1.0
A5000015386,A5005901640,1,1,2024,W4393397034,1.0
A5000015386,A5008937416,1,1,2024,W4393397034,1.0
A5000015386,A5014466973,1,1,2024,W4393397034,1.0
A5000015386,A5032863377,1,1,2024,W4393397034,1.0
A5000015386,A5039486115,1,1,2024,W4393397034,1.0
A5000015386,A5044944954,1,1,2024,W4393397034,1.0
A5000015386,A5046253607,1,1,2024,W4393397034,1.0
A5000015386,A5058954591,1,1,2024,W4393397034,1.0
A5000015386,A5079039372,1,1,2024,W4393397034,1.0
A5000015851,A5003151143,1,1,2024,W4402598606,1.0
A5000015851,A5039529259,1,1,2024,W4402598606,1.0
A5000019783,A5003509810,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5007865683,1,1,2024,W4400484796,1.0
A5000019783,A5047988314,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5069585864,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5082910693,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5093022070,1,1,2024,W4400484796,1.0
A5000019783,A5093895514,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5093932120,1,1,2024,W4400484796,1.0
A5000034409,A5064207123,1,1,2024,W4391547586,1.0
A5000034409,A5100657823,1,1,2024,W4391547586,1.0
A5000034409,A5103081211,1,1,2024,W4391547586,1.0
A5000039831,A5020662239,1,1,2024,W4404518650,1.0
A5000039831,A5020758501,1,1,2024,W4404518650,1.0
A5000039831,A5021920265,1,1,2024,W4404518650,1.0
A5000039831,A5025585747,1,1,2024,W4404518650,1.0
A5000039831,A5032814084,1,1,2024,W4404518650,1.0
A5000039831,A5036582258,1,1,2024,W4404518650,1.0
A5000039831,A5046305893,1,1,2024,W4404518650,1.0
A5000039831,A5048091074,1,1,2024,W4404518650,1.0
A5000039831,A5048272174,1,1,2024,W4404518650,1.0
A5000039831,A5052060244,1,1,2024,W4404518650,1.0
A5000039831,A5056575786,1,1,2024,W4404518650,1.0
A5000039831,A5065212897,1,1,2024,W4404518650,1.0
A5000039831,A5076593865,1,1,2024,W4404518650,1.0
A5000039831,A5080160770,1,1,2024,W4404518650,1.0
A5000039831,A5095886604,1,1,2024,W4404518650,1.0
A5000043237,A5008355834,1,1,2024,W4390529411,1.0
A5000043237,A5082624117,1,1,2024,W4390529411,1.0
A5000043237,A5091926857,1,1,2024,W4390529411,1.0
A5000043237,A5093642996,1,1,2024,W4390529411,1.0
A5000043237,A5100318540,1,1,2024,W4390529411,1.0
A5000043237,A5103854790,1,1,2024,W4390529411,1.0
A5000043237,A5011552000,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5012789622,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5015011965,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5018864006,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5022712053,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5024173490,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5025357679,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5025757578,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5026789962,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5036836679,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5037310413,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5048307591,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5050856399,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5051287569,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5063061204,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5066939448,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5068810050,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5070153551,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5078850040,3,3,2024,W4391767064;W4402671223;W4402671569,0.3333333333333333
A5000043237,A5079915395,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5082020464,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5082096652,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5085677889,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5086603416,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5090912879,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5093917420,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5093917421,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5093917422,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5093917423,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5093917424,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5093917425,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5104242935,2,2,2024,W4391767064;W4402671569,0.5
A5000043237,A5014662947,1,1,2024,W4391900009,1.0
A5000043237,A5016956470,1,1,2024,W4391900009,1.0
A5000043237,A5019018962,1,1,2024,W4391900009,1.0
A5000043237,A5022196026,1,1,2024,W4391900009,1.0
A5000043237,A5057697869,1,1,2024,W4391900009,1.0
A5000043237,A5100672984,1,1,2024,W4391900009,1.0
A5000043237,A5115602506,1,1,2024,W4391900009,1.0
A5000043237,A5001884064,1,1,2024,W4402671223,1.0
A5000043237,A5023452073,1,1,2024,W4402671223,1.0
A5000043237,A5036811894,1,1,2024,W4402671223,1.0
A5000043237,A5047887565,1,1,2024,W4402671223,1.0
A5000043237,A5093925862,1,1,2024,W4402671223,1.0
A5000043237,A5093925863,1,1,2024,W4402671223,1.0
A5000043237,A5110944281,1,1,2024,W4402671223,1.0
A5000043237,A5113118786,1,1,2024,W4402671223,1.0
A5000061162,A5019325615,1,1,2024,W4402716297,1.0
A5000061162,A5029213951,1,1,2024,W4402716297,1.0
A5000061162,A5085363061,1,1,2024,W4402716297,1.0
A5000061162,A5102637406,1,1,2024,W4402716297,1.0
A5000061162,A5103130858,1,1,2024,W4402716297,1.0
A5000095866,A5050644887,1,1,2024,W4404479158,1.0
A5000095866,A5102817693,1,1,2024,W4404479158,1.0
A5000099903,A5041372265,1,1,2024,W4395662771,1.0
A5000099903,A5073829818,1,1,2024,W4395662771,1.0
A5000099903,A5083935587,1,1,2024,W4395662771,1.0
A5000099903,A5100319039,1,1,2024,W4395662771,1.0
A5000099903,A5101398606,1,1,2024,W4395662771,1.0
A5000099903,A5101667364,1,1,2024,W4395662771,1.0
A5000099903,A5102925195,1,1,2024,W4395662771,1.0
A5000115067,A5032451355,1,1,2024,W4394673277,1.0
A5000115067,A5076144824,1,1,2024,W4394673277,1.0
A5000115067,A5102223697,1,1,2024,W4394673277,1.0
A5000115067,A5011279860,1,1,2024,W4401043313,1.0
A5000115067,A5017775632,1,1,2024,W4401043313,1.0
A5000115067,A5019356756,1,1,2024,W4401043313,1.0
A5000115067,A5029597925,1,1,2024,W4401043313,1.0
A5000115067,A5032248436,1,1,2024,W4401043313,1.0
A5000115067,A5041327449,1,1,2024,W4401043313,1.0
A5000115067,A5042795557,1,1,2024,W4401043313,1.0
A5000115067,A5064608039,1,1,2024,W4401043313,1.0
A5000115067,A5100618135,1,1,2024,W4401043313,1.0
A5000115067,A5100763094,1,1,2024,W4401043313,1.0
A5000115067,A5101681242,1,1,2024,W4401043313,1.0
A5000122127,A5008764341,1,1,2024,W4405552797,1.0
A5000122127,A5013170605,1,1,2024,W4405552797,1.0
A5000122127,A5018728516,1,1,2024,W4405552797,1.0
A5000122127,A5046475081,1,1,2024,W4405552797,1.0
A5000122127,A5058797533,1,1,2024,W4405552797,1.0
A5000122127,A5106848705,1,1,2024,W4405552797,1.0
A5000122127,A5109620992,1,1,2024,W4405552797,1.0
A5000126238,A5000969043,1,1,2024,W4392822106,1.0
A5000126238,A5001884064,1,1,2024,W4392822106,1.0
A5000126238,A5008724899,1,1,2024,W4392822106,1.0
A5000126238,A5015718786,1,1,2024,W4392822106,1.0
A5000126238,A5025255782,1,1,2024,W4392822106,1.0
A5000126238,A5031074289,1,1,2024,W4392822106,1.0
A5000126238,A5048513842,1,1,2024,W4392822106,1.0
A5000126238,A5049073875,1,1,2024,W4392822106,1.0
A5000126238,A5056974995,1,1,2024,W4392822106,1.0
A5000126238,A5058102069,1,1,2024,W4392822106,1.0
A5000126238,A5058408154,1,1,2024,W4392822106,1.0
A5000126238,A5062824333,1,1,2024,W4392822106,1.0
A5000126238,A5063345981,1,1,2024,W4392822106,1.0
A5000126238,A5066964120,1,1,2024,W4392822106,1.0
A5000126238,A5069576651,1,1,2024,W4392822106,1.0
A5000126238,A5076733732,1,1,2024,W4392822106,1.0
A5000126238,A5080591144,1,1,2024,W4392822106,1.0
A5000126238,A5093104547,1,1,2024,W4392822106,1.0
A5000126238,A5094155749,1,1,2024,W4392822106,1.0
A5000126238,A5094155750,1,1,2024,W4392822106,1.0
A5000126238,A5094155751,1,1,2024,W4392822106,1.0
A5000126238,A5102480144,1,1,2024,W4392822106,1.0
A5000126238,A5104090530,1,1,2024,W4392822106,1.0
A5000126238,A5114136103,1,1,2024,W4392822106,1.0
A5000127111,A5014828187,1,1,2024,W4402527597,1.0
A5000127111,A5021329493,1,1,2024,W4402527597,1.0
A5000127111,A5069296306,1,1,2024,W4402527597,1.0
A5000127111,A5072879839,1,1,2024,W4402527597,1.0
A5000132022,A5023052125,1,1,2024,W4400771997,1.0
A5000132022,A5090878267,1,1,2024,W4400771997,1.0
A5000132022,A5101907040,1,1,2024,W4400771997,1.0
A5000133452,A5000730187,1,1,2024,W4402400123,1.0
A5000133452,A5009171180,1,1,2024,W4402400123,1.0
A5000133452,A5010983432,1,1,2024,W4402400123,1.0
A5000133452,A5013582655,1,1,2024,W4402400123,1.0
A5000133452,A5032597517,1,1,2024,W4402400123,1.0
A5000133452,A5053440918,1,1,2024,W4402400123,1.0
A5000133452,A5081380518,1,1,2024,W4402400123,1.0
A5000133452,A5090073634,1,1,2024,W4402400123,1.0
A5000133452,A5102487151,1,1,2024,W4402400123,1.0
A5000133452,A5104032911,1,1,2024,W4402400123,1.0
A5000133452,A5109779467,1,1,2024,W4402400123,1.0
A5000133452,A5111404244,1,1,2024,W4402400123,1.0
A5000133452,A5115848307,1,1,2024,W4402400123,1.0
A5000133452,A5115848358,1,1,2024,W4402400123,1.0
A5000135593,A5021524144,1,1,2024,W4392083529,1.0
A5000135593,A5028800245,1,1,2024,W4392083529,1.0
A5000135593,A5047405500,1,1,2024,W4392083529,1.0
A5000135593,A5083337227,1,1,2024,W4392083529,1.0
A5000136911,A5048237545,1,1,2024,W4404239715,1.0
