source,target,weight,work_count,years,work_ids,distance
A5000001330,A5002204723,1,1,2024,W4405669265,1.0
A5000001330,A5006818116,1,1,2024,W4405669265,1.0
A5000001330,A5010756260,1,1,2024,W4405669265,1.0
A5000001330,A5011177274,1,1,2024,W4405669265,1.0
A5000001330,A5019204613,1,1,2024,W4405669265,1.0
A5000001330,A5019494985,1,1,2024,W4405669265,1.0
A5000001330,A5023123863,1,1,2024,W4405669265,1.0
A5000001330,A5036188128,1,1,2024,W4405669265,1.0
A5000001330,A5037383835,1,1,2024,W4405669265,1.0
A5000001330,A5038969629,1,1,2024,W4405669265,1.0
A5000001330,A5041857260,1,1,2024,W4405669265,1.0
A5000001330,A5047070499,1,1,2024,W4405669265,1.0
A5000001330,A5062444950,1,1,2024,W4405669265,1.0
A5000001330,A5065108845,1,1,2024,W4405669265,1.0
A5000001330,A5066102693,1,1,2024,W4405669265,1.0
A5000001330,A5073496354,1,1,2024,W4405669265,1.0
A5000001330,A5074442659,1,1,2024,W4405669265,1.0
A5000001330,A5082626235,1,1,2024,W4405669265,1.0
A5000001330,A5100371280,1,1,2024,W4405669265,1.0
A5000001330,A5101037239,1,1,2024,W4405669265,1.0
A5000001330,A5114910293,1,1,2024,W4405669265,1.0
A5000001330,A5115577502,1,1,2024,W4405669265,1.0
A5000003126,A5009729295,1,1,2025,W4410419420,1.0
A5000003126,A5021202946,1,1,2025,W4410419420,1.0
A5000003126,A5025338442,1,1,2025,W4410419420,1.0
A5000003126,A5036615521,1,1,2025,W4410419420,1.0
A5000003126,A5040615889,1,1,2025,W4410419420,1.0
A5000003126,A5100601677,1,1,2025,W4410419420,1.0
A5000003126,A5103108258,1,1,2025,W4410419420,1.0
A5000015386,A5005901640,1,1,2024,W4393397034,1.0
A5000015386,A5008937416,1,1,2024,W4393397034,1.0
A5000015386,A5014466973,1,1,2024,W4393397034,1.0
A5000015386,A5032863377,1,1,2024,W4393397034,1.0
A5000015386,A5039486115,1,1,2024,W4393397034,1.0
A5000015386,A5044944954,1,1,2024,W4393397034,1.0
A5000015386,A5046253607,1,1,2024,W4393397034,1.0
A5000015386,A5058954591,1,1,2024,W4393397034,1.0
A5000015386,A5079039372,1,1,2024,W4393397034,1.0
A5000015851,A5003151143,1,1,2024,W4402598606,1.0
A5000015851,A5039529259,1,1,2024,W4402598606,1.0
A5000018396,A5017765985,1,1,2022,W4210433458,1.0
A5000018396,A5049275722,1,1,2022,W4210433458,1.0
A5000018396,A5078655461,1,1,2022,W4210433458,1.0
A5000019246,A5061163815,1,1,2025,W4409060650,1.0
A5000019246,A5100403749,1,1,2025,W4409060650,1.0
A5000019246,A5108159243,1,1,2025,W4409060650,1.0
A5000019246,A5109453726,1,1,2025,W4409060650,1.0
A5000019246,A5111269970,1,1,2025,W4409060650,1.0
A5000019783,A5012165852,1,1,2022,W4286750892,1.0
A5000019783,A5031457464,1,1,2022,W4286750892,1.0
A5000019783,A5037784196,1,1,2022,W4286750892,1.0
A5000019783,A5088708850,2,2,2022;2023,W4286750892;W4392414327,0.5
A5000019783,A5003509810,3,3,2023;2024,W4392414327;W4400484796;W4401395592,0.3333333333333333
A5000019783,A5070401254,1,1,2023,W4392414327,1.0
A5000019783,A5083185771,1,1,2023,W4392414327,1.0
A5000019783,A5093022070,2,2,2023;2024,W4392414327;W4400484796,0.5
A5000019783,A5093022071,1,1,2023,W4392414327,1.0
A5000019783,A5007865683,1,1,2024,W4400484796,1.0
A5000019783,A5047988314,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5069585864,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5082910693,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5093895514,2,2,2024,W4400484796;W4401395592,0.5
A5000019783,A5093932120,1,1,2024,W4400484796,1.0
A5000020627,A5005420473,1,1,2025,W4410349969,1.0
A5000020627,A5013302911,1,1,2025,W4410349969,1.0
A5000020627,A5021042757,1,1,2025,W4410349969,1.0
A5000020627,A5101724769,1,1,2025,W4410349969,1.0
A5000020627,A5114246672,1,1,2025,W4410349969,1.0
A5000021633,A5024238951,1,1,2022,W4289792173,1.0
A5000021633,A5075743689,1,1,2022,W4289792173,1.0
A5000021633,A5100341950,1,1,2022,W4289792173,1.0
A5000021633,A5100610593,1,1,2022,W4289792173,1.0
A5000023371,A5019338133,1,1,2022,W4220920759,1.0
A5000023371,A5048326907,1,1,2022,W4220920759,1.0
A5000023371,A5090327828,1,1,2022,W4220920759,1.0
A5000024164,A5032983330,1,1,2025,W4411687973,1.0
A5000024164,A5048932613,1,1,2025,W4411687973,1.0
A5000024164,A5049557511,1,1,2025,W4411687973,1.0
A5000024164,A5100424178,1,1,2025,W4411687973,1.0
A5000024164,A5100639342,1,1,2025,W4411687973,1.0
A5000024193,A5011714920,1,1,2022,W4311042504,1.0
A5000024193,A5019223896,1,1,2022,W4311042504,1.0
A5000024193,A5033960131,1,1,2022,W4311042504,1.0
A5000024193,A5036519664,1,1,2022,W4311042504,1.0
A5000024193,A5057166280,1,1,2022,W4311042504,1.0
A5000024193,A5069779423,1,1,2022,W4311042504,1.0
A5000024193,A5100390952,1,1,2022,W4311042504,1.0
A5000024193,A5100400468,1,1,2022,W4311042504,1.0
A5000024193,A5100459266,1,1,2022,W4311042504,1.0
A5000024193,A5101514376,1,1,2022,W4311042504,1.0
A5000024193,A5102974511,1,1,2022,W4311042504,1.0
A5000024193,A5112701466,1,1,2022,W4311042504,1.0
A5000026575,A5053094006,1,1,2022,W3213454282,1.0
A5000026575,A5055629014,1,1,2022,W3213454282,1.0
A5000026575,A5066294527,1,1,2022,W3213454282,1.0
A5000026575,A5071668416,1,1,2022,W3213454282,1.0
A5000026575,A5072796087,1,1,2022,W3213454282,1.0
A5000026575,A5100411538,1,1,2022,W3213454282,1.0
A5000027382,A5014174633,1,1,2022,W4288058127,1.0
A5000027382,A5049262522,1,1,2022,W4288058127,1.0
A5000027382,A5058885400,1,1,2022,W4288058127,1.0
A5000027382,A5101463446,1,1,2022,W4288058127,1.0
A5000027382,A5110502345,1,1,2022,W4288058127,1.0
A5000034124,A5003878251,1,1,2022,W4223521725,1.0
A5000034124,A5016103645,1,1,2022,W4223521725,1.0
A5000034124,A5046120768,1,1,2022,W4223521725,1.0
A5000034124,A5047827278,1,1,2022,W4223521725,1.0
A5000034124,A5049959991,1,1,2022,W4223521725,1.0
A5000034124,A5060352361,1,1,2022,W4223521725,1.0
A5000034124,A5063410689,1,1,2022,W4223521725,1.0
A5000034124,A5067529915,1,1,2022,W4223521725,1.0
A5000034124,A5074374069,1,1,2022,W4223521725,1.0
A5000034124,A5074694043,1,1,2022,W4223521725,1.0
A5000034124,A5074964983,1,1,2022,W4223521725,1.0
A5000034124,A5076069559,1,1,2022,W4223521725,1.0
A5000034124,A5081859075,1,1,2022,W4223521725,1.0
A5000034124,A5084303709,1,1,2022,W4223521725,1.0
A5000034124,A5088038407,1,1,2022,W4223521725,1.0
A5000034124,A5091904954,1,1,2022,W4223521725,1.0
A5000034124,A5103276918,1,1,2022,W4223521725,1.0
A5000034124,A5108267652,1,1,2022,W4223521725,1.0
A5000034409,A5064207123,1,1,2024,W4391547586,1.0
A5000034409,A5100657823,1,1,2024,W4391547586,1.0
A5000034409,A5103081211,1,1,2024,W4391547586,1.0
A5000036192,A5001094226,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5014300312,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5033689713,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5068010860,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5069278500,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5082907866,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5109133545,2,2,2023;2025,W4386714656;W4405995927,0.5
A5000036192,A5039044023,1,1,2025,W4405995927,1.0
A5000036192,A5089113447,1,1,2025,W4405995927,1.0
A5000036192,A5100403324,1,1,2025,W4405995927,1.0
A5000036192,A5100783219,1,1,2025,W4405995927,1.0
A5000038422,A5001139738,1,1,2022,W4221007243,1.0
A5000038422,A5007596839,1,1,2022,W4221007243,1.0
A5000038422,A5008924366,1,1,2022,W4221007243,1.0
A5000038422,A5012240294,1,1,2022,W4221007243,1.0
A5000038422,A5024114285,1,1,2022,W4221007243,1.0
A5000038422,A5026517414,1,1,2022,W4221007243,1.0
A5000038422,A5026837899,1,1,2022,W4221007243,1.0
A5000038422,A5027896516,1,1,2022,W4221007243,1.0
A5000038422,A5029680007,1,1,2022,W4221007243,1.0
A5000038422,A5035206215,1,1,2022,W4221007243,1.0
A5000038422,A5044665869,1,1,2022,W4221007243,1.0
A5000038422,A5044771207,1,1,2022,W4221007243,1.0
A5000038422,A5055169358,1,1,2022,W4221007243,1.0
A5000038422,A5055772791,1,1,2022,W4221007243,1.0
A5000038422,A5059281499,1,1,2022,W4221007243,1.0
A5000038422,A5065837900,1,1,2022,W4221007243,1.0
A5000038422,A5076845671,1,1,2022,W4221007243,1.0
A5000038422,A5077116460,1,1,2022,W4221007243,1.0
A5000038422,A5079133822,1,1,2022,W4221007243,1.0
A5000038422,A5080761148,1,1,2022,W4221007243,1.0
A5000038422,A5082557392,1,1,2022,W4221007243,1.0
A5000038422,A5100424532,1,1,2022,W4221007243,1.0
A5000038422,A5110565636,1,1,2022,W4221007243,1.0
A5000039237,A5004036928,1,1,2022,W4296691561,1.0
A5000039237,A5010618682,1,1,2022,W4296691561,1.0
A5000039237,A5012087658,1,1,2022,W4296691561,1.0
A5000039237,A5013507563,1,1,2022,W4296691561,1.0
A5000039237,A5015270385,1,1,2022,W4296691561,1.0
A5000039237,A5022626757,1,1,2022,W4296691561,1.0
A5000039237,A5023132900,1,1,2022,W4296691561,1.0
A5000039237,A5027492181,1,1,2022,W4296691561,1.0
A5000039237,A5027498123,1,1,2022,W4296691561,1.0
A5000039237,A5030160770,1,1,2022,W4296691561,1.0
A5000039237,A5032101247,1,1,2022,W4296691561,1.0
A5000039237,A5038299329,1,1,2022,W4296691561,1.0
A5000039237,A5040408618,1,1,2022,W4296691561,1.0
A5000039237,A5040936112,1,1,2022,W4296691561,1.0
A5000039237,A5043974839,1,1,2022,W4296691561,1.0
A5000039237,A5046934232,1,1,2022,W4296691561,1.0
A5000039237,A5050028736,1,1,2022,W4296691561,1.0
A5000039237,A5050272964,1,1,2022,W4296691561,1.0
A5000039237,A5052768263,1,1,2022,W4296691561,1.0
A5000039237,A5055305783,1,1,2022,W4296691561,1.0
A5000039237,A5055997290,1,1,2022,W4296691561,1.0
A5000039237,A5056136458,1,1,2022,W4296691561,1.0
A5000039237,A5056645769,1,1,2022,W4296691561,1.0
A5000039237,A5058546353,1,1,2022,W4296691561,1.0
A5000039237,A5064936359,1,1,2022,W4296691561,1.0
A5000039237,A5067186373,1,1,2022,W4296691561,1.0
A5000039237,A5067790213,1,1,2022,W4296691561,1.0
A5000039237,A5069474069,1,1,2022,W4296691561,1.0
A5000039237,A5073444212,1,1,2022,W4296691561,1.0
A5000039237,A5079371611,1,1,2022,W4296691561,1.0
A5000039237,A5079989868,1,1,2022,W4296691561,1.0
A5000039237,A5081401602,1,1,2022,W4296691561,1.0
A5000039237,A5082906198,1,1,2022,W4296691561,1.0
A5000039237,A5087926553,1,1,2022,W4296691561,1.0
A5000039237,A5091875762,1,1,2022,W4296691561,1.0
A5000039237,A5102725089,1,1,2022,W4296691561,1.0
A5000039237,A5113001349,1,1,2022,W4296691561,1.0
A5000039831,A5020662239,2,2,2023;2024,W4387801479;W4404518650,0.5
A5000039831,A5020758501,2,2,2023;2024,W4387801479;W4404518650,0.5
A5000039831,A5021920265,2,2,2023;2024,W4387801479;W4404518650,0.5
A5000039831,A5025585747,2,2,2023;2024,W4387801479;W4404518650,0.5
A5000039831,A5032814084,2,2,2023;2024,W4387801479;W4404518650,0.5
A5000039831,A5036582258,2,2,2023;2024,W4387801479;W4404518650,0.5
