id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,primary_institution_for_display_this_year,primary_category_for_display_this_year,primary_target_firm_for_display_this_year,all_institution_names_this_year,all_target_firm_labels_this_year,has_multiple_affiliations_this_year,has_multiple_categories_this_year,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000001330,A5000001330,Matt Mazzola,Microsoft (United States),I1290206253,company,company,Microsoft,Microsoft (United States),company,Microsoft,Microsoft (United States),Microsoft,False,False,1,2024,0.0010271734055467363,22.0,0.0,1.200108674581327e-05,0
A5000006086,A5000006086,Mohammad Mahdi Jahani Yekta,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0,0.0,0.0,2.028022805555577e-135,1
A5000015386,A5000015386,Cody L. Boland,VA Palo Alto Health Care System,I204866599,healthcare,healthcare,Other,VA Palo Alto Health Care System,healthcare,Other,National Center for PTSD;VA Palo Alto Health Care System,Other,True,False,1,2024,0.0004202073022691194,9.0,0.0,5.387476590501682e-07,2
A5000015851,A5000015851,Oluwaseun Kolade,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,3
A5000019783,A5000019783,Mark Harman,Meta (United Kingdom),I4210111288,company,company,Other,Meta (United Kingdom),company,Other,Meta (United Kingdom);Meta (United States);University College London,Other,True,True,2,2024,0.00037351760201699503,13.0,0.0,1.0837834276790132e-56,4
A5000029432,A5000029432,Shuiping Yu,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0,0.0,0.0,2.028022805555577e-135,5
A5000034409,A5000034409,Kyoung Jun Lee,Kyung Hee University,I35928602,education,education,Other,Kyung Hee University,education,Other,Kyung Hee University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,6
A5000039831,A5000039831,Stevie Bergman,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,Google (United States),company,Google / Google DeepMind / DeepMind,Google (United States);Google DeepMind (United Kingdom),Google / Google DeepMind / DeepMind,True,False,1,2024,0.0007003455037818657,15.0,0.0,6.620839678493307e-50,7
A5000043237,A5000043237,Niklas Muennighoff,,,,unknown,Other,,unknown,Other,,,False,False,5,2024,0.0024745541133625922,93.0,0.0036144882983432294,0.00019279766300000904,8
A5000061162,A5000061162,DongJae Lee,Naver (South Korea),I60922564,company,company,Other,Naver (South Korea),company,Other,Naver (South Korea),Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,9
A5000095866,A5000095866,Shushman Choudhury,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,Google (United States),company,Google / Google DeepMind / DeepMind,Google (United States),Google / Google DeepMind / DeepMind,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,10
A5000099903,A5000099903,Sundeep Rangan,New York University,I57206974,education,education,Other,New York University,education,Other,New York University,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,11
A5000115067,A5000115067,Donald Metzler,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,Google (United States),company,Google / Google DeepMind / DeepMind,Google (United States),Google / Google DeepMind / DeepMind,False,False,2,2024,0.0006536558035297413,14.0,5.229734754934315e-05,4.784892755886957e-11,12
A5000122127,A5000122127,Zeynab Samei,Institute for Research in Fundamental Sciences,I4210146419,facility,research_institute,Other,Institute for Research in Fundamental Sciences,research_institute,Other,Institute for Research in Fundamental Sciences,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,13
A5000126238,A5000126238,Yacine Jernite,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.001120552806050985,24.0,0.0,0.00021484201673425347,2
A5000127111,A5000127111,Jin Pan,University of Michigan,I27837315,education,education,Other,University of Michigan,education,Other,Michigan United;University of Michigan,Other,True,True,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,14
A5000132022,A5000132022,Bingyu Dong,Shaanxi Normal University,I88830068,education,education,Other,Shaanxi Normal University,education,Other,Shaanxi Normal University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,15
A5000133452,A5000133452,Kuo Zhang,Chinese Academy of Medical Sciences & Peking Union Medical College,I200296433,education,education,Other,Chinese Academy of Medical Sciences & Peking Union Medical College,education,Other,Chinese Academy of Medical Sciences & Peking Union Medical College,Other,False,False,1,2024,0.0006536558035297413,14.0,0.0,3.8634075435640495e-37,16
A5000135593,A5000135593,Aasma Shaukat,New York University,I57206974,education,education,Other,New York University,education,Other,New York University;VA NY Harbor Healthcare System,Other,True,True,1,2024,0.00018675880100849752,4.0,0.0,6.872750602896558e-07,17
A5000136911,A5000136911,Chao Zhang,City University of Hong Kong,I168719708,education,education,Other,City University of Hong Kong,education,Other,City University of Hong Kong;University of Science and Technology of China,Other,True,False,1,2024,0.0004202073022691194,9.0,0.0,1.737531742346023e-12,414
A5000142410,A5000142410,Michael Sharman,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0,0.0,0.0,2.028022805555577e-135,19
