id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000003126,A5000003126,Tengda Gu,University of Tennessee Health Science Center,I160606119,education,education,Other,1,2025,0.0003213810201551811,7.0,0.0,3.189249024165931e-44,0
A5000019246,A5000019246,Anurag Sinha,Indira Gandhi National Open University,I51969498,education,education,Other,1,2025,0.0002295578715394151,5.0,0.0,7.619656458334121e-51,1
A5000020627,A5000020627,Qitong Chen,Soochow University,I3923682,education,education,Other,1,2025,0.0002295578715394151,5.0,0.0,1.8085925375328236e-49,2
A5000024164,A5000024164,Hongrui Sang,Shanghai Maritime University,I96733725,education,education,Other,1,2025,0.0002295578715394151,5.0,0.0,4.618571513965483e-40,3
A5000029432,A5000029432,Shuiping Yu,,,,unknown,Other,1,2025,0.0,0.0,0.0,4.364345468665175e-92,4
A5000036192,A5000036192,Daniel I. Schlessinger,Northwestern University,I111979921,education,education,Other,1,2025,0.0005050273173867132,11.0,0.0,6.970961309059594e-06,5
A5000044758,A5000044758,Zedong Huang,Jiangsu University,I115592961,education,education,Other,1,2025,0.0002295578715394151,5.0,0.0,7.619656458334121e-51,6
A5000044759,A5000044759,Karol Kamiński,,,,unknown,Other,1,2025,0.0003213810201551811,7.0,0.0,3.189249024165931e-44,7
A5000045048,A5000045048,Yong Seok Heo,Ajou University,I57664883,education,education,Other,1,2025,4.591157430788302e-05,1.0,0.0,3.931052925279319e-76,8
A5000048472,A5000048472,Emma Dixon,Clemson University,I8078737,education,education,Other,1,2025,9.182314861576603e-05,2.0,0.0,8.459518039776312e-67,9
A5000048871,A5000048871,Ning Zhang,Hong Kong Polytechnic University,I14243506,education,education,Other,1,2025,0.00013773472292364904,3.0,0.0,3.540777697892328e-60,10
A5000067757,A5000067757,Sejin Paik,Boston University,I111088046,education,education,Other,1,2025,0.0005050273173867132,11.0,0.0,6.863176397288944e-35,11
A5000068327,A5000068327,Petar Risteski,Triemli Hospital,I2799963127,healthcare,healthcare,Other,1,2025,0.0003213810201551811,7.0,0.0,3.189249024165931e-44,12
A5000092822,A5000092822,Christopher T. Whitlow,Wake Forest University,I47251452,education,education,Other,1,2025,0.00036729259446306413,8.0,0.0,2.219812568111001e-12,13
A5000094333,A5000094333,Amir M. Rahmani,"University of California, Irvine",I204250578,education,education,Other,1,2025,0.00013773472292364904,3.0,0.0,3.540777697892328e-60,14
A5000101528,A5000101528,Majid Bavand,Ericsson (Canada),I4210094041,company,company,Other,1,2025,0.0002754694458472981,6.0,0.0,2.692249106484815e-47,15
A5000115067,A5000115067,Donald Metzler,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,1,2025,9.182314861576603e-05,2.0,0.0,8.459518039776312e-67,16
A5000115682,A5000115682,Qing Guo,Central China Normal University,I40963666,education,education,Other,1,2025,0.00018364629723153207,4.0,0.0,4.845396826730548e-55,17
A5000119667,A5000119667,Luhao Yang,Genedata (Switzerland),I2799341698,company,company,Other,1,2025,0.0,0.0,0.0,4.364345468665175e-92,18
A5000122982,A5000122982,Youxin Chen,Shanghai Jiao Tong University,I183067930,education,education,Other,1,2025,0.0,0.0,0.0,4.364345468665175e-92,19
