id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000001330,A5000001330,Matt Mazzola,Microsoft (United States),I1290206253,company,company,Microsoft,1,2024,0.00033881077418261904,22.0,0.0,1.2018240565636006e-07,104
A5000003126,A5000003126,Tengda Gu,University of Tennessee Health Science Center,I160606119,education,education,Other,1,2025,0.00010780342814901514,7.0,0.0,4.557709073493508e-25,1
A5000005785,A5000005785,Temilola Fatoyinbo,Goddard Space Flight Center,I1306266525,facility,research_institute,Other,1,2022,0.0,0.0,0.0,2.024029421174194e-40,2
A5000006086,A5000006086,Mohammad Mahdi Jahani Yekta,,,,unknown,Other,1,2024,0.0,0.0,0.0,2.024029421174194e-40,3
A5000015386,A5000015386,Cody L. Boland,VA Palo Alto Health Care System,I204866599,healthcare,healthcare,Other,1,2024,0.00013860440762016233,9.0,0.0,6.596316205809377e-08,4
A5000015851,A5000015851,Oluwaseun Kolade,,,,unknown,Other,1,2024,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,5
A5000018396,A5000018396,S.-B. Suleimanov,National Academy of Sciences of Ukraine,I149851306,funder,unknown,Other,1,2022,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,6
A5000019246,A5000019246,Anurag Sinha,Indira Gandhi National Open University,I51969498,education,education,Other,1,2025,7.700244867786796e-05,5.0,0.0,6.070606879345524e-27,7
A5000019783,A5000019783,Mark Harman,Meta (United Kingdom),I4210111288,company,company,Other,4,2022;2023;2024,0.00023100734603360388,23.0,4.919935763422901e-05,3.717566177760913e-09,8
A5000020627,A5000020627,Qitong Chen,Soochow University,I3923682,education,education,Other,1,2025,7.700244867786796e-05,5.0,0.0,9.834295859553847e-27,9
A5000021633,A5000021633,Wenguan Ma,"China Huaneng Group Co., Ltd. (China)",I4392738174,company,company,Other,1,2022,6.160195894229437e-05,4.0,0.0,1.54421189969955e-28,10
A5000023371,A5000023371,Ali Al‐Naji,University of South Australia,I170239107,education,education,Other,1,2022,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,11
A5000024164,A5000024164,Hongrui Sang,Shanghai Maritime University,I96733725,education,education,Other,1,2025,7.700244867786796e-05,5.0,0.0,2.4603100305771424e-17,12
A5000024193,A5000024193,YuTong Du,Institute of Microbiology,I4210134982,facility,research_institute,Other,1,2022,0.0001848058768268831,12.0,0.0,1.7508696326221448e-21,13
A5000026575,A5000026575,Alexander Kolesnikov,Google (Switzerland),I4210100430,company,company,Google / Google DeepMind / DeepMind,1,2022,9.240293841344155e-05,6.0,0.0,3.9070567836909855e-08,14
A5000027382,A5000027382,Hiroshi Fujita,Gifu University,I42405503,education,education,Other,1,2022,7.700244867786796e-05,5.0,0.0,1.3224210267719787e-25,15
A5000029432,A5000029432,Shuiping Yu,,,,unknown,Other,2,2024;2025,0.0,0.0,0.0,2.024029421174194e-40,16
A5000034124,A5000034124,Lihong Zhan,Gladstone Institutes,I1321430492,nonprofit,nonprofit,Other,1,2022,0.00027720881524032466,18.0,0.0,1.1092464239572838e-18,17
A5000034409,A5000034409,Kyoung Jun Lee,Kyung Hee University,I35928602,education,education,Other,1,2024,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,18
A5000036192,A5000036192,Daniel I. Schlessinger,Northwestern University,I111979921,education,education,Other,2,2023;2025,0.00016940538709130952,18.0,0.0,2.2370434732671643e-07,104
A5000038422,A5000038422,Andrew N. Van,Washington University in St. Louis,I204465549,education,education,Other,1,2022,0.00035421126391819264,23.0,0.0,6.255050030416436e-17,19
A5000039237,A5000039237,Rebecca Nedellec,Scripps Research Institute,I123431417,nonprofit,nonprofit,Other,1,2022,0.0005698181202162229,37.0,0.0,1.4539114728092942e-13,20
A5000039831,A5000039831,Stevie Bergman,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,2,2023;2024,0.00023100734603360388,27.0,0.0,3.0424944533494784e-06,21
A5000043237,A5000043237,Niklas Muennighoff,,,,unknown,Other,8,2022;2023;2024,0.0010780342814901514,115.0,0.001175224136422217,4.949461128562333e-06,22
A5000043507,A5000043507,Luai A. Ahmed,University of Washington,I201448701,education,education,Other,1,2023,0.0,0.0,0.0,2.024029421174194e-40,23
A5000044758,A5000044758,Zedong Huang,Jiangsu University,I115592961,education,education,Other,1,2025,7.700244867786796e-05,5.0,0.0,3.426005671834173e-27,24
A5000044759,A5000044759,Karol Kamiński,,,,unknown,Other,1,2025,0.00010780342814901514,7.0,0.0,1.6596306023625628e-23,25
A5000045048,A5000045048,Yong Seok Heo,Ajou University,I57664883,education,education,Other,1,2025,1.5400489735573592e-05,1.0,0.0,2.6529358429214393e-35,26
A5000045142,A5000045142,Scott W. Cunningham,Worcester Polytechnic Institute,I107077323,education,education,Other,1,2023,0.0,0.0,0.0,2.024029421174194e-40,27
