author_id,author_name,year,all_institution_ids_this_year,all_institution_names_this_year,all_institution_types_this_year,all_target_firm_labels_this_year,has_company_affiliation_this_year,has_education_affiliation_this_year,has_research_institute_affiliation_this_year,has_multiple_affiliations_this_year,has_multiple_categories_this_year,has_company_and_education_this_year,has_company_and_research_institute_this_year,primary_institution_for_display_this_year,primary_institution_id_for_display_this_year,primary_institution_type_for_display_this_year,primary_category_for_display_this_year,primary_target_firm_for_display_this_year,raw_recovered_affiliation_count_this_year
A5000001330,Matt Mazzola,2024,I1290206253,Microsoft (United States),company,Microsoft,True,False,False,False,False,False,False,Microsoft (United States),I1290206253,company,company,Microsoft,0
A5000003126,Tengda Gu,2025,I160606119,University of Tennessee Health Science Center,education,Other,False,True,False,False,False,False,False,University of Tennessee Health Science Center,I160606119,education,education,Other,0
A5000005785,Temilola Fatoyinbo,2022,I1306266525,Goddard Space Flight Center,facility,Other,False,False,True,False,False,False,False,Goddard Space Flight Center,I1306266525,facility,research_institute,Other,0
A5000006086,Mohammad Mahdi Jahani Yekta,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000015386,Cody L. Boland,2024,I204866599;I4210103836,National Center for PTSD;VA Palo Alto Health Care System,healthcare;other,Other,False,False,False,True,False,False,False,VA Palo Alto Health Care System,I204866599,healthcare,healthcare,Other,0
A5000015851,Oluwaseun Kolade,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000018396,S.-B. Suleimanov,2022,I149851306;I4210156878,National Academy of Sciences of Ukraine;V.M. Glushkov Institute of Cybernetics,facility;funder,Other,False,False,True,True,False,False,False,V.M. Glushkov Institute of Cybernetics,I4210156878,facility,research_institute,Other,0
A5000019246,Anurag Sinha,2025,I51969498,Indira Gandhi National Open University,education,Other,False,True,False,False,False,False,False,Indira Gandhi National Open University,I51969498,education,education,Other,0
A5000019783,Mark Harman,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000019783,Mark Harman,2023,I4210111288,Meta (United Kingdom),company,Other,True,False,False,False,False,False,False,Meta (United Kingdom),I4210111288,company,company,Other,0
A5000019783,Mark Harman,2024,I4210111288;I4210114444;I45129253,Meta (United Kingdom);Meta (United States);University College London,company;education,Other,True,True,False,True,True,True,False,Meta (United Kingdom),I4210111288,company,company,Other,0
A5000020627,Qitong Chen,2025,I3923682,Soochow University,education,Other,False,True,False,False,False,False,False,Soochow University,I3923682,education,education,Other,0
A5000021633,Wenguan Ma,2022,I162868743;I4210101009;I4392738174,"China Huaneng Group Co., Ltd. (China);Huaneng Clean Energy Research Institute;Tianjin University",company;education;facility,Other,True,True,True,True,True,True,True,"China Huaneng Group Co., Ltd. (China)",I4392738174,company,company,Other,0
A5000023371,Ali Al‐Naji,2022,I170239107;I4210115078,Middle Technical University;University of South Australia,education,Other,False,True,False,True,False,False,False,Middle Technical University,I4210115078,education,education,Other,0
A5000024164,Hongrui Sang,2025,I96733725,Shanghai Maritime University,education,Other,False,True,False,False,False,False,False,Shanghai Maritime University,I96733725,education,education,Other,0
A5000024193,YuTong Du,2022,I4210134982,Institute of Microbiology,facility,Other,False,False,True,False,False,False,False,Institute of Microbiology,I4210134982,facility,research_institute,Other,0
A5000026575,Alexander Kolesnikov,2022,I4210100430,Google (Switzerland),company,Google / Google DeepMind / DeepMind,True,False,False,False,False,False,False,Google (Switzerland),I4210100430,company,company,Google / Google DeepMind / DeepMind,0
A5000027382,Hiroshi Fujita,2022,I42405503,Gifu University,education,Other,False,True,False,False,False,False,False,Gifu University,I42405503,education,education,Other,0
A5000029432,Shuiping Yu,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000029432,Shuiping Yu,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000034124,Lihong Zhan,2022,I1321430492;I180670191,"Gladstone Institutes;University of California, San Francisco",education;nonprofit,Other,False,True,False,True,True,False,False,"University of California, San Francisco",I180670191,education,education,Other,0
A5000034409,Kyoung Jun Lee,2024,I35928602,Kyung Hee University,education,Other,False,True,False,False,False,False,False,Kyung Hee University,I35928602,education,education,Other,0
A5000036192,Daniel I. Schlessinger,2023,I111979921,Northwestern University,education,Other,False,True,False,False,False,False,False,Northwestern University,I111979921,education,education,Other,0
A5000036192,Daniel I. Schlessinger,2025,I111979921,Northwestern University,education,Other,False,True,False,False,False,False,False,Northwestern University,I111979921,education,education,Other,0
A5000038422,Andrew N. Van,2022,I204465549,Washington University in St. Louis,education,Other,False,True,False,False,False,False,False,Washington University in St. Louis,I204465549,education,education,Other,0
