work_id,publication_year,author_id,author_name,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,affiliation_source
W4312220150,2022,A5103133745,Xi Yang,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4312220150,2022,A5103133745,Xi Yang,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5103133745,Xi Yang,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4312220150,2022,A5004483523,Aokun Chen,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4312220150,2022,A5004483523,Aokun Chen,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5004483523,Aokun Chen,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4312220150,2022,A5009065821,Nima PourNejatian,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5112748839,Hoo Chang Shin,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5089553213,Kaleb E Smith,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5001562064,Christopher Parisien,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5054618681,Colin B. Compas,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5104053092,Cheryl Martin,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5068151024,Anthony Costa,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5031887767,Mona G. Flores,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4312220150,2022,A5100643464,Ying Zhang,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5045150730,Tanja Magoč,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5017766297,Christopher A. Harle,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5039309602,Gloria Lipori,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5087959258,Duane A. Mitchell,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5076610873,William R. Hogan,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5026803588,Elizabeth Shenkman,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5030951014,Jiang Bian,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4312220150,2022,A5030951014,Jiang Bian,I33213144,University of Florida,education,education,Other,structured_openalex
W4312220150,2022,A5030951014,Jiang Bian,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4312220150,2022,A5010253402,Yonghui Wu,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4312220150,2022,A5010253402,Yonghui Wu,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4312220150,2022,A5010253402,Yonghui Wu,I94062374,Florida College,education,education,Other,structured_openalex
W4281763794,2022,A5038743835,Frank F. Xu,I74973139,Carnegie Mellon University,education,education,Other,structured_openalex
W4281763794,2022,A5107243336,Uri Alon,I74973139,Carnegie Mellon University,education,education,Other,structured_openalex
W4281763794,2022,A5068811427,Graham Neubig,I74973139,Carnegie Mellon University,education,education,Other,structured_openalex
W4281763794,2022,A5009679905,Vincent J. Hellendoorn,I74973139,Carnegie Mellon University,education,education,Other,structured_openalex
W4313451803,2022,A5055949685,Tiffany H. Kung,I4210087915,Massachusetts General Hospital,healthcare,healthcare,Other,structured_openalex
W4313451803,2022,A5080358515,Morgan Cheatham,I27804330,Brown University,education,education,Other,structured_openalex
W4313451803,2022,A5080358515,Morgan Cheatham,I2801652605,Warren Alpert Foundation,nonprofit,nonprofit,Other,structured_openalex
W4313451803,2022,A5001189652,James Maningo,I1300699541,SeaWorld Entertainment,other,unknown,Other,structured_openalex
W4313451803,2022,A5026590179,Victor Tseng,I1300699541,SeaWorld Entertainment,other,unknown,Other,structured_openalex
W4298110867,2022,A5063822345,Allen Huang,I200769079,Hong Kong University of Science and Technology,education,education,Other,structured_openalex
W4298110867,2022,A5100678675,Hui Wang,I78988378,Renmin University of China,education,education,Other,structured_openalex
W4298110867,2022,A5100657565,Yi Yang,I200769079,Hong Kong University of Science and Technology,education,education,Other,structured_openalex
W4221055872,2022,A5020034316,Ann Yuan,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4221055872,2022,A5069648186,Andy Coenen,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4221055872,2022,A5019880413,Emily Reif,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4221055872,2022,A5022994077,Daphne Ippolito,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4283705032,2022,A5064114707,Sami Sarsa,I9927081,Aalto University,education,education,Other,structured_openalex
W4283705032,2022,A5032890999,Paul Denny,I154130895,University of Auckland,education,education,Other,structured_openalex
W4283705032,2022,A5076828114,Arto Hellas,I9927081,Aalto University,education,education,Other,structured_openalex
W4283705032,2022,A5041367899,Juho Leinonen,I9927081,Aalto University,education,education,Other,structured_openalex
W4225108562,2022,A5057172764,Priyan Vaithilingam,I2801851002,Harvard University Press,other,unknown,Other,structured_openalex
W4225108562,2022,A5100437453,Tianyi Zhang,I219193219,Purdue University West Lafayette,education,education,Other,structured_openalex
W4225108562,2022,A5045866597,Elena L. Glassman,I136199984,Harvard University,education,education,Other,structured_openalex
W3203321135,2022,A5004225142,Tongshuang Wu,I201448701,University of Washington,education,education,Other,structured_openalex
W3203321135,2022,A5015483503,Michael Terry,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W3203321135,2022,A5065663195,Carrie J. Cai,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573087,2022,A5053402317,Stefan Hegselmann,I22465464,University of Münster,education,education,Other,structured_openalex
W4291476001,2022,A5042822346,Stephen MacNeil,I84392919,Temple University,education,education,Other,structured_openalex
W4291476001,2022,A5074358617,Andrew Tran,I84392919,Temple University,education,education,Other,structured_openalex
W4291476001,2022,A5018361709,Dan Mogil,I84392919,Temple University,education,education,Other,structured_openalex
W4291476001,2022,A5034358464,Seth Bernstein,I84392919,Temple University,education,education,Other,structured_openalex
W4291476001,2022,A5101169033,Erin Ross,I84392919,Temple University,education,education,Other,structured_openalex
W4291476001,2022,A5090728280,Ziheng Huang,I36258959,University of California San Diego,education,education,Other,structured_openalex
W4225165463,2022,A5045401706,Ellen Jiang,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4225165463,2022,A5060902208,Kristen Olson,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4225165463,2022,A5003894415,Edwin Toh,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4225165463,2022,A5037935952,Alejandra Molina,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4225165463,2022,A5066462000,Aaron Donsbach,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4225165463,2022,A5015483503,Michael Terry,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4225165463,2022,A5065663195,Carrie J. Cai,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4301393026,2022,A5056219662,Albert Webson,I175594653,John Brown University,education,education,Other,structured_openalex
