method,year,category_pair,edge_count,edge_weight
researcher_edges_author_year_primary_categories,2022,company-company,5801,5801.0
researcher_edges_author_year_primary_categories,2022,company-education,4100,4100.0
researcher_edges_author_year_primary_categories,2022,company-government,58,58.0
researcher_edges_author_year_primary_categories,2022,company-healthcare,171,171.0
researcher_edges_author_year_primary_categories,2022,company-nonprofit,482,482.0
researcher_edges_author_year_primary_categories,2022,company-research_institute,1296,1296.0
researcher_edges_author_year_primary_categories,2022,company-unknown,4950,4950.0
researcher_edges_author_year_primary_categories,2022,education-education,31062,31062.0
researcher_edges_author_year_primary_categories,2022,education-government,1105,1105.0
researcher_edges_author_year_primary_categories,2022,education-healthcare,2961,2961.0
researcher_edges_author_year_primary_categories,2022,education-nonprofit,1784,1784.0
researcher_edges_author_year_primary_categories,2022,education-research_institute,15908,15908.0
researcher_edges_author_year_primary_categories,2022,education-unknown,7171,7171.0
researcher_edges_author_year_primary_categories,2022,government-government,116,116.0
researcher_edges_author_year_primary_categories,2022,government-healthcare,49,49.0
researcher_edges_author_year_primary_categories,2022,government-nonprofit,26,26.0
researcher_edges_author_year_primary_categories,2022,government-research_institute,1184,1184.0
researcher_edges_author_year_primary_categories,2022,government-unknown,266,266.0
researcher_edges_author_year_primary_categories,2022,healthcare-healthcare,920,920.0
researcher_edges_author_year_primary_categories,2022,healthcare-nonprofit,184,184.0
researcher_edges_author_year_primary_categories,2022,healthcare-research_institute,1113,1113.0
researcher_edges_author_year_primary_categories,2022,healthcare-unknown,527,527.0
researcher_edges_author_year_primary_categories,2022,nonprofit-nonprofit,4206,4206.0
researcher_edges_author_year_primary_categories,2022,nonprofit-research_institute,518,518.0
researcher_edges_author_year_primary_categories,2022,nonprofit-unknown,821,821.0
researcher_edges_author_year_primary_categories,2022,research_institute-research_institute,30688,30688.0
researcher_edges_author_year_primary_categories,2022,research_institute-unknown,5047,5047.0
researcher_edges_author_year_primary_categories,2022,unknown-unknown,21954,21954.0
researcher_edges_author_year_primary_categories,2023,company-company,6355,6355.0
researcher_edges_author_year_primary_categories,2023,company-education,4129,4129.0
researcher_edges_author_year_primary_categories,2023,company-government,97,97.0
researcher_edges_author_year_primary_categories,2023,company-healthcare,150,150.0
researcher_edges_author_year_primary_categories,2023,company-nonprofit,58,58.0
researcher_edges_author_year_primary_categories,2023,company-research_institute,565,565.0
researcher_edges_author_year_primary_categories,2023,company-unknown,5254,5254.0
researcher_edges_author_year_primary_categories,2023,education-education,31613,31613.0
researcher_edges_author_year_primary_categories,2023,education-government,380,380.0
researcher_edges_author_year_primary_categories,2023,education-healthcare,2679,2679.0
researcher_edges_author_year_primary_categories,2023,education-nonprofit,896,896.0
researcher_edges_author_year_primary_categories,2023,education-research_institute,5073,5073.0
researcher_edges_author_year_primary_categories,2023,education-unknown,9717,9717.0
researcher_edges_author_year_primary_categories,2023,government-government,61,61.0
researcher_edges_author_year_primary_categories,2023,government-healthcare,33,33.0
researcher_edges_author_year_primary_categories,2023,government-nonprofit,8,8.0
researcher_edges_author_year_primary_categories,2023,government-research_institute,193,193.0
researcher_edges_author_year_primary_categories,2023,government-unknown,100,100.0
researcher_edges_author_year_primary_categories,2023,healthcare-healthcare,1438,1438.0
researcher_edges_author_year_primary_categories,2023,healthcare-nonprofit,70,70.0
researcher_edges_author_year_primary_categories,2023,healthcare-research_institute,188,188.0
researcher_edges_author_year_primary_categories,2023,healthcare-unknown,495,495.0
researcher_edges_author_year_primary_categories,2023,nonprofit-nonprofit,2367,2367.0
researcher_edges_author_year_primary_categories,2023,nonprofit-research_institute,190,190.0
researcher_edges_author_year_primary_categories,2023,nonprofit-unknown,400,400.0
researcher_edges_author_year_primary_categories,2023,research_institute-research_institute,7929,7929.0
researcher_edges_author_year_primary_categories,2023,research_institute-unknown,1460,1460.0
researcher_edges_author_year_primary_categories,2023,unknown-unknown,35226,35226.0
researcher_edges_author_year_primary_categories,2024,company-company,7867,7867.0
researcher_edges_author_year_primary_categories,2024,company-education,4926,4926.0
researcher_edges_author_year_primary_categories,2024,company-government,20,20.0
researcher_edges_author_year_primary_categories,2024,company-healthcare,436,436.0
researcher_edges_author_year_primary_categories,2024,company-nonprofit,55,55.0
researcher_edges_author_year_primary_categories,2024,company-research_institute,921,921.0
researcher_edges_author_year_primary_categories,2024,company-unknown,3723,3723.0
researcher_edges_author_year_primary_categories,2024,education-education,37027,37027.0
researcher_edges_author_year_primary_categories,2024,education-government,308,308.0
researcher_edges_author_year_primary_categories,2024,education-healthcare,2606,2606.0
researcher_edges_author_year_primary_categories,2024,education-nonprofit,602,602.0
researcher_edges_author_year_primary_categories,2024,education-research_institute,4670,4670.0
researcher_edges_author_year_primary_categories,2024,education-unknown,8327,8327.0
researcher_edges_author_year_primary_categories,2024,government-government,219,219.0
researcher_edges_author_year_primary_categories,2024,government-healthcare,8,8.0
researcher_edges_author_year_primary_categories,2024,government-nonprofit,11,11.0
researcher_edges_author_year_primary_categories,2024,government-research_institute,142,142.0
researcher_edges_author_year_primary_categories,2024,government-unknown,63,63.0
researcher_edges_author_year_primary_categories,2024,healthcare-healthcare,2709,2709.0
researcher_edges_author_year_primary_categories,2024,healthcare-nonprofit,28,28.0
researcher_edges_author_year_primary_categories,2024,healthcare-research_institute,319,319.0
researcher_edges_author_year_primary_categories,2024,healthcare-unknown,1408,1408.0
researcher_edges_author_year_primary_categories,2024,nonprofit-nonprofit,111,111.0
researcher_edges_author_year_primary_categories,2024,nonprofit-research_institute,62,62.0
researcher_edges_author_year_primary_categories,2024,nonprofit-unknown,223,223.0
researcher_edges_author_year_primary_categories,2024,research_institute-research_institute,7422,7422.0
researcher_edges_author_year_primary_categories,2024,research_institute-unknown,2220,2220.0
researcher_edges_author_year_primary_categories,2024,unknown-unknown,51848,51848.0
researcher_edges_author_year_primary_categories,2025,company-company,8239,8239.0
researcher_edges_author_year_primary_categories,2025,company-education,5814,5814.0
researcher_edges_author_year_primary_categories,2025,company-government,104,104.0
researcher_edges_author_year_primary_categories,2025,company-healthcare,579,579.0
researcher_edges_author_year_primary_categories,2025,company-nonprofit,196,196.0
researcher_edges_author_year_primary_categories,2025,company-research_institute,1227,1227.0
researcher_edges_author_year_primary_categories,2025,company-unknown,1011,1011.0
researcher_edges_author_year_primary_categories,2025,education-education,46491,46491.0
researcher_edges_author_year_primary_categories,2025,education-government,445,445.0
researcher_edges_author_year_primary_categories,2025,education-healthcare,5883,5883.0
researcher_edges_author_year_primary_categories,2025,education-nonprofit,1019,1019.0
researcher_edges_author_year_primary_categories,2025,education-research_institute,8496,8496.0
researcher_edges_author_year_primary_categories,2025,education-unknown,7306,7306.0
researcher_edges_author_year_primary_categories,2025,government-government,87,87.0
researcher_edges_author_year_primary_categories,2025,government-healthcare,51,51.0
researcher_edges_author_year_primary_categories,2025,government-nonprofit,7,7.0
researcher_edges_author_year_primary_categories,2025,government-research_institute,53,53.0
researcher_edges_author_year_primary_categories,2025,government-unknown,46,46.0
researcher_edges_author_year_primary_categories,2025,healthcare-healthcare,2360,2360.0
researcher_edges_author_year_primary_categories,2025,healthcare-nonprofit,221,221.0
researcher_edges_author_year_primary_categories,2025,healthcare-research_institute,612,612.0
researcher_edges_author_year_primary_categories,2025,healthcare-unknown,491,491.0
researcher_edges_author_year_primary_categories,2025,nonprofit-nonprofit,437,437.0
researcher_edges_author_year_primary_categories,2025,nonprofit-research_institute,179,179.0
researcher_edges_author_year_primary_categories,2025,nonprofit-unknown,291,291.0
researcher_edges_author_year_primary_categories,2025,research_institute-research_institute,4109,4109.0
researcher_edges_author_year_primary_categories,2025,research_institute-unknown,1430,1430.0
researcher_edges_author_year_primary_categories,2025,unknown-unknown,31055,31055.0
researcher_edges_author_year_primary_categories,full,company-company,28262,28262.0
researcher_edges_author_year_primary_categories,full,company-education,18969,18969.0
researcher_edges_author_year_primary_categories,full,company-government,279,279.0
researcher_edges_author_year_primary_categories,full,company-healthcare,1336,1336.0
researcher_edges_author_year_primary_categories,full,company-nonprofit,791,791.0
researcher_edges_author_year_primary_categories,full,company-research_institute,4009,4009.0
researcher_edges_author_year_primary_categories,full,company-unknown,14938,14938.0
researcher_edges_author_year_primary_categories,full,education-education,146193,146193.0
researcher_edges_author_year_primary_categories,full,education-government,2238,2238.0
researcher_edges_author_year_primary_categories,full,education-healthcare,14129,14129.0
researcher_edges_author_year_primary_categories,full,education-nonprofit,4301,4301.0
researcher_edges_author_year_primary_categories,full,education-research_institute,34147,34147.0
researcher_edges_author_year_primary_categories,full,education-unknown,32521,32521.0
researcher_edges_author_year_primary_categories,full,government-government,483,483.0
