source,target,source_name,target_name,source_category,target_category,source_firm,target_firm,weight
I100005738,I4210110242,Brigham Young University,Digital Science (United States),education,company,Other,Other,1.0
I100005738,I1291425158,Brigham Young University,Google (United States),education,company,Other,Google / Google DeepMind / DeepMind,1.0
I100066346,I873043661,University of Stuttgart,Voith (United States),education,company,Other,Other,1.0
I100066346,I3019562804,University of Stuttgart,BASF (United States),education,company,Other,Other,1.0
I100066346,I4210109704,University of Stuttgart,Bio Signal Group (United States),education,company,Other,Other,1.0
I100066346,I4210138066,University of Stuttgart,Insilixa (United States),education,company,Other,Other,1.0
I100066346,I4387154989,University of Stuttgart,Hugging Face,education,company,Other,Hugging Face,1.0
I100066346,I889804353,University of Stuttgart,Robert Bosch (Germany),education,company,Other,Other,1.0
I100135526,I126744593,BGI Group (China),"University of Maryland, Baltimore",company,education,Other,Other,1.0
I100135526,I149521062,BGI Group (China),University of Maryland Center for Environmental Science,company,education,Other,Other,1.0
I100135526,I191208505,BGI Group (China),Xiamen University,company,education,Other,Other,1.0
I100135526,I4210165038,BGI Group (China),University of Chinese Academy of Sciences,company,education,Other,Other,2.0
I100135526,I200769079,BGI Group (China),Hong Kong University of Science and Technology,company,education,Other,Other,1.0
I100296615,I112991645,École Nationale de l’Aviation Civile,Airbus (France),education,company,Other,Other,1.0
I10052268,I4210164862,New Mexico State University,Artificial Intelligence in Medicine (Canada),education,company,Other,Other,1.0
I10052268,RAW_XAI,New Mexico State University,xAI,education,company,Other,xAI,1.0
I100532134,I118019719,Université Claude Bernard Lyon 1,Roche (Switzerland),education,company,Other,Other,1.0
I100532134,I4210113058,Université Claude Bernard Lyon 1,Roche (United Kingdom),education,company,Other,Other,1.0
I100532134,I4210090411,Université Claude Bernard Lyon 1,Google DeepMind (United Kingdom),education,company,Other,Google / Google DeepMind / DeepMind,1.0
I100532134,I4210113297,Université Claude Bernard Lyon 1,Google (United Kingdom),education,company,Other,Google / Google DeepMind / DeepMind,1.0
I100532134,I4210101573,Université Claude Bernard Lyon 1,Octoly (France),education,company,Other,Other,2.0
I100532134,I3019562804,Université Claude Bernard Lyon 1,BASF (United States),education,company,Other,Other,1.0
I100532134,I4210109704,Université Claude Bernard Lyon 1,Bio Signal Group (United States),education,company,Other,Other,1.0
I100532134,I4210138066,Université Claude Bernard Lyon 1,Insilixa (United States),education,company,Other,Other,1.0
I100532134,I4387154989,Université Claude Bernard Lyon 1,Hugging Face,education,company,Other,Hugging Face,1.0
I100532134,I889804353,Université Claude Bernard Lyon 1,Robert Bosch (Germany),education,company,Other,Other,1.0
I100930933,I4210090411,University College Dublin,Google DeepMind (United Kingdom),education,company,Other,Google / Google DeepMind / DeepMind,2.0
I100930933,I4210113297,University College Dublin,Google (United Kingdom),education,company,Other,Google / Google DeepMind / DeepMind,1.0
I100930933,I4210143272,University College Dublin,Camber Collective (United States),education,company,Other,Other,1.0
I100930933,I4210113748,University College Dublin,Midé Technology (United States),education,company,Other,Other,1.0
I101155339,I4575257,Korea Telecom (South Korea),Hanyang University,company,education,Other,Other,1.0
I101407740,I88773910,Chandigarh University,Intuit (United States),education,company,Other,Other,1.0
