id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,0.003138075313807531,12.0,0.0,0.0029040507612868548,0
I100066346,0.015428870292887028,60.0,0.000972886983046807,0.004761428570433829,1
I100116408,0.0015690376569037654,6.0,0.0,8.122116555123287e-08,2
I100135526,0.0010460251046025104,4.0,0.0,0.0035836178291722785,3
I100188998,0.0002615062761506276,1.0,0.0,0.0005909912206007487,3
I100288624,0.0002615062761506276,1.0,0.0,1.594670487001461e-07,0
I100296615,0.0010460251046025104,4.0,0.0,6.849255921083574e-07,1
I100357981,0.0007845188284518827,3.0,0.0,0.00031596609265394375,3
I100445878,0.0010460251046025104,4.0,0.0,0.001953138851518854,1
I10052268,0.0002615062761506276,1.0,0.0,3.650839195777025e-29,4
I100532134,0.014905857740585773,62.0,0.00027655441110303154,0.004130614811589538,1
I100621029,0.0,0.0,0.0,3.211818884300829e-35,5
I100681346,0.0007845188284518827,3.0,0.0,0.0005575845616129631,0
I100930933,0.008368200836820083,33.0,0.0019921523339915823,0.005554357318397827,81
I101100930,0.0010460251046025104,4.0,0.0,2.8604547995068976e-06,7
I101202996,0.003922594142259414,17.0,0.0009106896890470111,0.0006739841616509677,81
I101407740,0.0007845188284518827,3.0,2.7361368155964175e-07,3.962190220493283e-27,8
I101479585,0.001830543933054393,7.0,0.0,0.0014128688830764222,3
I102064193,0.0002615062761506276,1.0,0.0,9.497406536208374e-06,9
I102134673,0.006276150627615062,24.0,0.0016923655592779496,0.0016052572637641166,79
I10213569,0.0,0.0,0.0,3.211818884300829e-35,11
I102149020,0.004445606694560669,18.0,0.00023505597640814232,0.0027203982063270637,12
I102248843,0.0020920502092050207,8.0,9.505908338822855e-05,0.0002784741076754517,13
I102272798,0.0007845188284518827,3.0,0.0,7.957976482176832e-07,14
I102322142,0.019089958158995814,82.0,0.0024555665950187298,0.02253233273774605,9
I102335020,0.0020920502092050207,8.0,0.0008837796832408277,0.00026307442705034975,12
I102461120,0.001307531380753138,5.0,0.0,0.00011381472169837125,15
I102502594,0.0005230125523012552,2.0,0.0,9.105068306509532e-05,0
I102669525,0.0005230125523012552,2.0,0.0,3.4252858847494853e-06,16
I102782458,0.0005230125523012552,2.0,0.0,3.1761041367767525e-05,17
I102913810,0.0010460251046025104,4.0,0.0,4.900846686250047e-24,18
I103163165,0.0020920502092050207,8.0,0.0005655397187956668,0.0008997442433771471,0
I103320735,0.0007845188284518827,3.0,0.0,1.7848332223009677e-09,19
I103356709,0.0,0.0,0.0,3.211818884300829e-35,20
I103562704,0.0005230125523012552,2.0,0.0,8.857155389493645e-07,12
I103605164,0.0007845188284518827,3.0,0.0,7.270102796224547e-06,2
I103635307,0.003138075313807531,12.0,0.0012546961445365416,0.0037610718378079016,17
I104234503,0.0002615062761506276,1.0,0.0,4.5270576806180895e-05,79
I104338594,0.0,0.0,0.0,3.211818884300829e-35,22
I104588304,0.0005230125523012552,2.0,0.0,1.0661127925595895e-07,23
I104914703,0.0,0.0,0.0,3.211818884300829e-35,24
I104941359,0.0015690376569037654,6.0,0.00019981974591243306,5.2514100279544514e-05,79
I105086349,0.003922594142259414,15.0,0.0,0.005314384865692501,3
I10535382,0.006276150627615062,25.0,0.00035833865158575685,0.010617117475189886,3
I105454292,0.0002615062761506276,1.0,0.0,2.5647245138541185e-08,13
I105991555,0.0005230125523012552,2.0,0.0,0.0004881308161072659,25
I106118109,0.00653765690376569,25.0,9.576478854587462e-07,0.0038069327245968307,9
I106157433,0.0015690376569037654,6.0,0.0,0.00013299956099412086,9
I106165777,0.013336820083682007,55.0,0.0018193341378434475,0.013263121412441212,79
I106460735,0.0007845188284518827,3.0,0.0,2.0207917049246684e-06,26
I10660446,0.002353556485355648,9.0,1.140057006498507e-06,0.0032323197302091687,3
I106663880,0.0002615062761506276,1.0,0.0,8.046790918777246e-07,0
I106778892,0.005753138075313807,22.0,0.005070703948826292,0.0035143755148258457,23
I106785703,0.003138075313807531,15.0,4.670976420911027e-07,0.0005117899755586253,1
I106938459,0.001307531380753138,5.0,2.7361368155964175e-07,0.0010530230258103755,0
I106980716,0.0007845188284518827,3.0,0.0,1.379465706874727e-25,27
I107077323,0.0007845188284518827,3.0,0.0,3.470542925916787e-05,17
I107326029,0.0005230125523012552,2.0,0.0,2.296134024659041e-05,28
I107606265,0.013859832635983262,68.0,0.00011659591016861528,0.008920939421476258,0
I107639228,0.0054916317991631795,22.0,0.001283677805140883,0.002604346116706919,0
I107672454,0.001830543933054393,7.0,0.00045105215405106944,0.000707958096113946,9
I107720978,0.0,0.0,0.0,3.211818884300829e-35,29
I107982497,0.0,0.0,0.0,3.211818884300829e-35,30
I108103353,0.0005230125523012552,4.0,0.0,1.3530072309018237e-05,12
I108192572,0.0,0.0,0.0,3.211818884300829e-35,31
I108290504,0.0005230125523012552,2.0,0.0,0.00010205169442365083,9
I108377266,0.0002615062761506276,1.0,0.0,4.877330201834884e-05,3
I108468826,0.001307531380753138,5.0,0.0,0.0008049584647529729,0
I108526665,0.0010460251046025104,4.0,0.0,9.276758723569063e-06,32
I108688024,0.019351464435146442,87.0,0.0025221428544343577,0.040517600080079055,3
I108904480,0.0007845188284518827,3.0,0.0,5.913073135421921e-05,3
I108970525,0.0010460251046025104,4.0,0.0,4.900846686250047e-24,33
I109173049,0.0007845188284518827,3.0,0.0,0.002005331367104921,3
I109556086,0.0007845188284518827,3.0,0.0,0.00178068378709194,3
I109689652,0.001307531380753138,6.0,0.0013523356211085293,6.991979259281071e-05,23
I109703491,0.001830543933054393,7.0,0.0,7.607060530349826e-05,16
I109736498,0.0007845188284518827,3.0,0.0,0.0004986402466225909,0
I109935558,0.0033995815899581588,17.0,0.001083708548895312,0.0073501240550366675,3
I109954829,0.0002615062761506276,4.0,0.0,1.4170144806033717e-05,34
I110002522,0.0005230125523012552,2.0,0.0,3.980552428752249e-07,35
I110017253,0.0015690376569037654,6.0,0.0,0.00011546161108098837,81
I11019714,0.0005230125523012552,2.0,0.0,2.1629664139656033e-07,36
I110273157,0.0007845188284518827,3.0,0.0,0.00030763484878828693,0
I110360157,0.003922594142259414,15.0,0.002932343362551626,0.0010781957115112433,23
I110525433,0.0005230125523012552,2.0,0.0,0.00014262560026281548,0
I111088046,0.010198744769874476,39.0,2.1939257033057274e-05,0.009300190389029066,79
I111112146,0.0,0.0,0.0,3.211818884300829e-35,37
I111149068,0.011244769874476987,45.0,6.840342038991043e-07,0.02965290347572379,3
I111236770,0.002353556485355648,9.0,6.090243752455624e-06,0.0005095571567103355,79
I111262870,0.0028765690376569035,11.0,0.0,0.0005880228581931345,9
I111277659,0.0028765690376569035,11.0,0.0,0.00012033817746779641,2
I111483173,0.002615062761506276,15.0,2.052102611697313e-07,0.014559215611015053,3
I111599522,0.0005230125523012552,2.0,2.052102611697313e-07,9.491486436960425e-05,12
I111753288,0.0010460251046025104,4.0,0.0,0.00118427320878483,3
I1118541,0.0002615062761506276,1.0,0.0,2.1048976240153915e-30,38
