id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,0.002832097100472016,21.0,0.0004859498377529636,0.003444038598786652,0
I100066346,0.009305461901550911,73.0,0.0007917704530453166,0.006049998790098934,1
I100116408,0.0008091706001348618,6.0,0.0,4.846997658509909e-08,2
I100135526,0.0014834794335805799,12.0,1.0914089562110356e-07,0.002184569688047752,3
I100188998,0.00013486176668914363,1.0,0.0,0.00022295606705542126,3
I100191712,0.00026972353337828726,2.0,0.0,0.00015374310000585702,4
I100205273,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,5
I100288624,0.0013486176668914363,10.0,5.0932417956515e-07,0.0011045846875123444,6
I100296615,0.0005394470667565745,4.0,0.0,1.7021975628911842e-05,7
I100357981,0.0004045853000674309,3.0,0.0,0.00011236185986103442,3
I100445878,0.0005394470667565745,4.0,0.0,0.0007386909042010196,8
I10052268,0.0012137559002022927,9.0,5.9936541845256e-06,0.00027565528929311564,9
I100532134,0.010654079568442347,98.0,0.000769278017381285,0.005013940282111322,1
I100538780,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,10
I100621029,0.0,0.0,0.0,1.7276259771195807e-53,11
I100633361,0.0,0.0,0.0,1.7276259771195807e-53,12
I100653424,0.00026972353337828726,2.0,0.0,1.807157792334881e-43,13
I100681346,0.0004045853000674309,3.0,0.0,0.0001599322254783157,8
I100887729,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,14
I10091056,0.0008091706001348618,7.0,7.447047111213297e-05,0.0002384819106082547,15
I100930933,0.015913688469318947,195.0,0.003444168974713783,0.013231224266376018,0
I101100930,0.0005394470667565745,4.0,0.0,1.0455694987551473e-06,16
I101155339,0.00026972353337828726,2.0,0.0,1.2866974133069359e-06,15
I101202996,0.002562373567093729,21.0,0.0007343484528035054,0.000645019339348826,8
I101326570,0.0008091706001348618,6.0,0.0,1.4483536746262539e-06,4
I101407740,0.0020229265003371545,16.0,0.00043051656002933154,5.972334463009436e-06,4
I101479585,0.001078894133513149,8.0,0.0002429476336525765,0.0003806524684573965,3
I102015815,0.00013486176668914363,1.0,0.0,5.929647062256105e-40,17
I102064193,0.0006743088334457181,5.0,0.0,0.00016568046195910676,16
I102117144,0.0009440323668240054,7.0,0.0,1.8125157288460633e-08,4
I102134673,0.00890087660148348,74.0,0.0016746691196689288,0.0034150688532202282,1
I10213569,0.0,0.0,0.0,1.7276259771195807e-53,18
I102149020,0.006203641267700607,54.0,0.00018434826989144858,0.003288247448853945,1
I102197404,0.0006743088334457181,5.0,0.0,0.0002344198960696891,8
I102208913,0.0006743088334457181,6.0,0.0002429476336525765,0.00020156942437176076,16
I102239671,0.0004045853000674309,3.0,0.0,4.109632074809024e-06,4
I102248843,0.0035064059339177346,26.0,1.2574330471927572e-05,0.0009023391653077642,19
I102272798,0.001888064733648011,14.0,4.91134030294966e-07,0.0014268554870823559,1
I102322142,0.02306136210384356,205.0,0.002561810668593576,0.021733351776755536,0
I102335020,0.008091706001348618,66.0,0.0028071393494757406,0.003740839816868874,1
I102345215,0.00026972353337828726,2.0,0.0,1.9865101753679483e-07,6
I102398690,0.0008091706001348618,6.0,0.0,0.0001656028206279315,4
I102401767,0.0,0.0,0.0,1.7276259771195807e-53,20
I102461120,0.0008091706001348618,6.0,3.638029854036786e-07,2.9653047807707245e-05,4
I102502594,0.009440323668240054,73.0,2.2737686587729915e-07,0.0076235457085764395,8
I102520234,0.0,0.0,0.0,1.7276259771195807e-53,21
I102607778,0.0005394470667565745,4.0,0.0,0.0018117071127679582,3
I102669525,0.00026972353337828726,2.0,0.0,6.816014113828831e-07,4
I102782458,0.0005394470667565745,6.0,1.4552119416147141e-06,4.2424583530633284e-05,4
I102893293,0.00013486176668914363,1.0,0.0,1.8077108245924252e-08,4
I102913810,0.0006743088334457181,5.0,0.0009713539710278216,5.134900334292135e-07,4
I103163165,0.010923803101820635,86.0,0.0011214431736430788,0.006039601850874447,7
I103193709,0.0032366824005394474,24.0,0.0,0.00013500351277161355,4
I103225651,0.006068779501011463,45.0,0.0,0.003269798583107019,7
I103250015,0.002157788267026298,16.0,5.820847766458856e-07,0.0015731204406327492,1
I103320735,0.0016183412002697237,12.0,1.9942466983211638e-05,8.042019700766615e-05,4
I103356709,0.0020229265003371545,15.0,6.548453737266213e-07,0.00035419216102695915,4
I103406327,0.0,0.0,0.0,1.7276259771195807e-53,22
I103434671,0.001078894133513149,11.0,6.125957203550748e-05,1.9099030763117353e-05,23
I103531236,0.002157788267026298,16.0,7.96728538034056e-06,0.001484212377526537,0
I103562704,0.00026972353337828726,2.0,0.0,2.993341477936857e-06,4
I103605164,0.0004045853000674309,3.0,0.0,5.463550324234067e-06,2
I103635307,0.0032366824005394474,27.0,0.0006969919495856373,0.002793912430782951,4
I103703290,0.00026972353337828726,2.0,0.0,1.4647179076443624e-05,23
I103737770,0.00013486176668914363,2.0,0.0,2.186932551872633e-05,2
I103990859,0.001888064733648011,14.0,0.0,0.002858728264628598,0
I104234503,0.0013486176668914363,11.0,0.0,1.6747292627862108e-05,56
I104338594,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,25
I10457146,0.0,0.0,0.0,1.7276259771195807e-53,26
I104588304,0.00026972353337828726,2.0,0.0,9.07303782680788e-09,4
I104628220,0.0009440323668240054,7.0,0.0,0.0010459212196894032,1
I104854061,0.0005394470667565745,4.0,0.0,4.319036343057472e-09,15
I104914703,0.0,0.0,0.0,1.7276259771195807e-53,27
I104941359,0.0024275118004045853,19.0,5.795031484433593e-05,5.333898700504527e-05,4
I105036370,0.0005394470667565745,4.0,2.297537120486033e-05,1.7556074105420492e-05,6
I105086349,0.0031018206338503033,24.0,1.273310448912875e-07,0.002520197124748661,3
I105094715,0.00026972353337828726,3.0,0.0002429476336525765,2.6608889427175692e-05,3
I105126617,0.0016183412002697237,14.0,0.0,0.0031143739967296924,3
I105208703,0.001078894133513149,8.0,0.0,1.5016360804420396e-05,23
I10535382,0.004045853000674309,36.0,0.00024637950848155126,0.00554286921162746,3
I105454292,0.0013486176668914363,10.0,5.681389955387446e-06,8.29230873740494e-05,4
I105818395,0.00026972353337828726,2.0,0.0,8.760710127644245e-06,0
I105991555,0.00026972353337828726,2.0,0.0,0.00012889668668196724,7
I106053113,0.0,0.0,0.0,1.7276259771195807e-53,28
I106079672,0.00026972353337828726,2.0,0.0,0.00013276031098506745,3
I106118109,0.004989885367498314,37.0,0.0004921497335823097,0.0031807802273839413,0
I106157433,0.006473364801078895,48.0,3.825994729828686e-06,0.003376830906567664,6
I106165777,0.013486176668914364,116.0,0.002576567037400095,0.012667679968890668,0
I106245021,0.00013486176668914363,1.0,0.0,5.792247168053164e-08,1
I106296451,0.0009440323668240054,11.0,8.85253931148951e-07,0.0003499751138438873,4
I106460735,0.0004045853000674309,3.0,0.0,1.1205774473156017e-06,29
I10660446,0.0012137559002022927,11.0,3.1287056744716354e-06,0.0015027073184075794,3
I106663880,0.00013486176668914363,1.0,0.0,3.4520617349066283e-07,4
I106778892,0.005124747134187458,39.0,0.0013210368582490964,0.0011826531746433858,4
I106785703,0.004720161834120027,73.0,1.8905628474811164e-06,0.008048902659643526,7
I106826634,0.0005394470667565745,4.0,0.0002429476336525765,4.2024984679889374e-08,4
I106841677,0.00013486176668914363,1.0,0.0,1.5069999570260156e-06,16
I106938459,0.0009440323668240054,10.0,3.638029854036785e-08,0.0008839503266216017,0
I106969075,0.0016183412002697237,12.0,0.0005478218114805672,0.0008317947908349214,15
I106980716,0.0004045853000674309,3.0,0.0,3.465816794120672e-10,2
I106994412,0.0013486176668914363,10.0,1.0914089562110356e-07,0.0018039942468856594,3
I107077323,0.009035738368172624,67.0,0.0002551077484396945,0.0023728400483742883,4
I107139065,0.00026972353337828726,2.0,0.0,4.318422189436615e-05,0
I107326029,0.0005394470667565745,4.0,0.0,0.00021416899796736767,16
I107575416,0.00445043830074174,33.0,0.0,0.0006158645988332179,6
I107606265,0.015374241402562374,208.0,1.0114415952289702e-05,0.04304129605317693,0
I107639228,0.007956844234659474,70.0,0.0012454861902508924,0.012092843739701412,0
I107640659,0.0009440323668240054,7.0,7.193289016727789e-05,6.83378546828281e-05,19
I107672454,0.014025623735670938,123.0,0.00026801062765534497,0.012854247951059368,7
I107720978,0.0008091706001348618,6.0,0.0004893877759650283,7.51379494662885e-06,4
I107766831,0.004180714767363453,31.0,1.3339442798134882e-06,0.00256181826919081,7
I107851509,0.00026972353337828726,2.0,0.0,1.807157792334881e-43,30
I107982497,0.0,0.0,0.0,1.7276259771195807e-53,31
I108103353,0.0013486176668914363,12.0,0.00013967791187757933,0.0005525828202960178,23
I108108428,0.0009440323668240054,8.0,0.00024740422022377157,0.0005331624278133875,32
I108160477,0.0004045853000674309,4.0,0.0,1.6261289927472007e-05,16
I108192572,0.007282535401213756,57.0,1.2149200697555846e-05,0.007446363264390993,0
I108290504,0.009440323668240054,77.0,0.001052938133110857,0.005128019052305543,2
I108377266,0.00013486176668914363,1.0,0.0,6.977873118844793e-05,8
I108403487,0.002832097100472016,23.0,0.0004688365453195746,0.0013965700522921268,9
I108468826,0.0032366824005394474,24.0,1.1459794040215874e-06,0.0022765188476429523,0
I108526665,0.0005394470667565745,15.0,0.0,9.178518978702133e-05,4
I108688024,0.01294672960215779,137.0,0.00044969565758086905,0.026089218786430116,3
I108714496,0.00026972353337828726,2.0,0.0,1.807157792334881e-43,33
I108754898,0.00026972353337828726,2.0,0.0,1.9946312528340242e-05,4
I108904480,0.0009440323668240054,7.0,0.0,6.097686551529612e-05,3
I108970525,0.0005394470667565745,4.0,0.0,8.237962613675984e-39,34
I109009565,0.0013486176668914363,10.0,0.0,9.172837371676415e-06,56
I10902133,0.0,0.0,0.0,1.7276259771195807e-53,35
I109173049,0.0009440323668240054,7.0,1.0914089562110356e-07,0.0007435805094758151,15
I109297418,0.00026972353337828726,2.0,0.0,1.834326210666893e-06,36
I10947320,0.0006743088334457181,5.0,0.0,0.0011744080576939718,1
I109556086,0.0004045853000674309,3.0,0.0,0.000877393752905605,3
I109689652,0.0013486176668914363,11.0,0.00046230917168170124,0.0002927262363278908,4
I109703491,0.0009440323668240054,7.0,0.0,4.4343848154104775e-05,4
I109736498,0.009575185434929199,93.0,1.70896452393378e-05,0.0125984294245425,0
I109935558,0.0032366824005394474,32.0,0.0010333096194420682,0.006397746919515676,3
I109954829,0.0022926500337154417,27.0,4.765819108788188e-06,0.00030566315085800736,8
I110002522,0.0022926500337154417,19.0,0.0004638912500713206,0.0023965590315037015,1
