institution_id,institution_name,community_id,simplified_institution_category,target_firm_label,weighted_degree,betweenness_centrality
I100005738,Brigham Young University,0,education,Other,21.0,0.0004856432651079
I100066346,University of Stuttgart,1,education,Other,73.0,0.0007915575159964
I100116408,University of Port Harcourt,2,education,Other,6.0,0.0
I100135526,BGI Group (China),3,company,Other,12.0,1.0887641858714993e-07
I100188998,Harbin University of Science and Technology,4,education,Other,1.0,0.0
I100191712,Pepperdine University,2,education,Other,2.0,0.0
I100205273,Universidad Técnica Particular de Loja,5,education,Other,1.0,0.0
I100288624,John Innes Centre,3,research_institute,Other,10.0,5.080899534066996e-07
I100296615,École Nationale de l’Aviation Civile,0,education,Other,4.0,0.0
I100357981,Wannan Medical College,4,healthcare,Other,3.0,0.0
I100445878,École Centrale de Nantes,1,education,Other,4.0,0.0
I10052268,New Mexico State University,6,education,Other,10.0,6.313017671078238e-06
I100532134,Université Claude Bernard Lyon 1,1,education,Other,98.0,0.00076735941664
I100538780,Wesleyan University,7,education,Other,1.0,0.0
I100621029,Bank of America,8,unknown,Other,0.0,0.0
I100633361,University of Massachusetts Dartmouth,9,education,Other,0.0,0.0
I100653424,Yamashina Institute for Ornithology,10,research_institute,Other,2.0,0.0
I100681346,Forest Institute,11,education,Other,3.0,0.0
I100887729,Andhra University,12,education,Other,1.0,0.0
I10091056,Kanazawa University,6,education,Other,7.0,7.461663887172673e-05
I100930933,University College Dublin,0,education,Other,195.0,0.0034397242543704
I101100930,Universidade Federal de Juiz de Fora,2,education,Other,4.0,0.0
I101155339,Korea Telecom (South Korea),13,company,Other,2.0,0.0
I101202996,Semmelweis University,1,education,Other,21.0,0.0007340206193548
I101326570,National Institute of Technology Sikkim,13,education,Other,6.0,0.0
I101407740,Chandigarh University,13,education,Other,16.0,0.0004296910582531
I101479585,South China Agricultural University,4,education,Other,8.0,0.0002427944134493
I102015815,Christian Brothers University,14,education,Other,1.0,0.0
I102064193,University of Siena,2,education,Other,5.0,0.0
I102117144,Banasthali University,13,education,Other,7.0,0.0
I102134673,Linköping University,6,education,Other,74.0,0.0016734780359003
I10213569,Cape Breton University,15,education,Other,0.0,0.0
I102149020,University of North Carolina at Charlotte,16,education,Other,54.0,0.0001844096356049
I102197404,Université Paris-Sud,1,education,Other,5.0,0.0
I102208913,Shihezi University,4,education,Other,6.0,0.0002427944134493
I102239671,Hamdan Bin Mohammed Smart University,13,education,Other,3.0,0.0
I102248843,Vienna University of Economics and Business,17,education,Other,26.0,1.2543859569079992e-05
I102272798,INSEAD,0,education,Other,14.0,4.899438836421745e-07
I102322142,"Rutgers, The State University of New Jersey",0,education,Other,206.0,0.0025598731040848
I102335020,Karlsruhe Institute of Technology,1,education,Other,66.0,0.0028023743720975
I102345215,Xihua University,3,education,Other,2.0,0.0
I102398690,National Natural Science Foundation of China,6,government,Other,6.0,0.0
I102401767,University of Arkansas at Little Rock,18,education,Other,0.0,0.0
I102461120,Marquette University,2,education,Other,6.0,3.629213952904997e-07
I102502594,Northern Illinois University,11,education,Other,73.0,2.268258720565624e-07
I102520234,TH Köln - University of Applied Sciences,19,education,Other,0.0,0.0
I102607778,Cleveland State University,4,education,Other,4.0,0.0
I102669525,Pelita Harapan University,13,education,Other,2.0,0.0
I102782458,Chittagong University of Engineering & Technology,2,education,Other,6.0,1.4516855811619988e-06
I102893293,State University of Malang,13,education,Other,1.0,0.0
I102913810,Universiti Malaysia Pahang Al-Sultan Abdullah,13,education,Other,5.0,0.000970742148123
I103163165,Florida State University,1,education,Other,86.0,0.0011206944710817
I103193709,Adamson University,13,education,Other,24.0,0.0
I103225651,Fondazione Edmund Mach,0,unknown,Other,45.0,0.0
I103250015,Human Sciences Research Council,16,nonprofit,Other,16.0,5.806742324647995e-07
I103320735,Università Cattolica del Sacro Cuore,6,education,Other,12.0,1.9894141151840887e-05
I103356709,Obuda University,13,education,Other,15.0,6.532585115228994e-07
I103406327,Western Carolina University,20,education,Other,0.0,0.0
I103434671,American International University-Bangladesh,21,education,Other,11.0,6.0965955456866806e-05
I103531236,Boston College,0,education,Other,16.0,7.893540347568368e-06
I103562704,ESI Group (France),13,company,Other,2.0,0.0
I103605164,Tohoku Institute of Technology,6,education,Other,3.0,0.0
I103635307,"University of California, Riverside",2,education,Other,27.0,0.0006962102586555
I103703290,Sakarya University,21,education,Other,2.0,0.0
I103737770,Bank of Italy,17,unknown,Other,2.0,0.0
I103990859,Pennington Biomedical Research Center,0,research_institute,Other,14.0,0.0
I104234503,Hokkaido University of Science,6,education,Other,11.0,0.0
I104338594,Inje University,22,education,Other,1.0,0.0
I10457146,Universidad de Santiago de Chile,23,education,Other,0.0,0.0
I104588304,University of Szczecin,13,education,Other,2.0,0.0
I104628220,Lions Eye Institute,16,nonprofit,Other,7.0,0.0
I104854061,Universidad Autónoma del Estado de Hidalgo,24,education,Other,4.0,0.0
I104914703,Université du Québec à Chicoutimi,25,education,Other,0.0,0.0
I104941359,Al-Ahliyya Amman University,13,education,Other,19.0,5.780988602249523e-05
I105036370,AstraZeneca (United Kingdom),3,company,Other,4.0,2.313744868775368e-05
I105086349,North Sichuan Medical University,4,education,Other,24.0,1.270224883516749e-07
I105094715,National Institute of Technology Kurukshetra,4,education,Other,3.0,0.0002427944134493
I105126617,Zhejiang International Studies University,4,education,Other,14.0,0.0
I105208703,Almaty Management University,21,education,Other,8.0,0.0
I10535382,Chongqing University of Posts and Telecommunications,4,education,Other,36.0,0.0002462179719449
