source_community,target_community,weight
0,4,2995.0
0,11,2868.0
0,24,2155.0
0,17,1630.0
0,1,1271.0
24,4,1214.0
0,6,908.0
11,4,883.0
11,24,782.0
0,13,743.0
0,21,738.0
0,16,676.0
1,11,676.0
17,24,676.0
13,4,646.0
11,17,622.0
1,4,604.0
16,4,600.0
17,4,577.0
24,6,570.0
17,6,540.0
21,4,509.0
0,3,502.0
1,17,458.0
3,4,439.0
2,4,417.0
1,24,393.0
4,6,363.0
11,6,356.0
0,34,347.0
13,24,328.0
0,2,309.0
13,16,288.0
1,6,283.0
16,24,281.0
13,6,268.0
0,27,264.0
11,13,256.0
11,16,206.0
16,17,203.0
1,16,197.0
17,3,195.0
13,3,186.0
13,17,182.0
11,3,170.0
24,3,170.0
13,21,167.0
21,24,158.0
13,2,156.0
1,21,152.0
24,34,150.0
11,21,149.0
1,13,138.0
1,3,127.0
2,24,121.0
17,34,119.0
17,21,119.0
16,6,113.0
16,21,107.0
16,3,101.0
3,6,98.0
11,2,93.0
11,34,86.0
34,6,79.0
17,27,75.0
21,3,70.0
34,4,70.0
21,6,70.0
2,6,66.0
1,34,65.0
2,21,60.0
17,2,60.0
1,2,57.0
2,3,56.0
13,34,55.0
16,2,53.0
11,27,48.0
0,35,44.0
13,35,42.0
16,34,38.0
21,34,36.0
24,27,34.0
27,4,33.0
13,27,32.0
3,34,30.0
35,4,30.0
35,6,26.0
2,34,24.0
21,27,19.0
16,35,12.0
17,35,11.0
27,3,11.0
27,34,10.0
11,35,10.0
2,27,10.0
27,6,10.0
1,27,9.0
16,27,8.0
24,35,7.0
1,35,6.0
3,35,5.0
0,111,5.0
21,35,3.0
34,35,3.0
165,4,3.0
115,4,2.0
0,165,2.0
27,35,1.0
0,105,1.0
338,4,1.0
105,4,1.0
