year,category_pair,edge_count,edge_weight
full,company-company,439,606.0
full,company-education,4384,5637.0
full,company-government,201,235.0
full,company-healthcare,598,707.0
full,company-nonprofit,254,286.0
full,company-research_institute,840,947.0
full,company-unknown,177,212.0
full,education-education,27611,35871.0
full,education-government,2660,3491.0
full,education-healthcare,9403,12157.0
full,education-nonprofit,2504,2903.0
full,education-research_institute,9985,11912.0
full,education-unknown,1743,2295.0
full,government-government,132,181.0
full,government-healthcare,430,473.0
full,government-nonprofit,153,157.0
full,government-research_institute,992,1361.0
full,government-unknown,127,184.0
full,healthcare-healthcare,3004,3613.0
full,healthcare-nonprofit,633,756.0
full,healthcare-research_institute,1540,1859.0
full,healthcare-unknown,619,785.0
full,nonprofit-nonprofit,135,149.0
full,nonprofit-research_institute,572,627.0
full,nonprofit-unknown,145,175.0
full,research_institute-research_institute,1604,1786.0
full,research_institute-unknown,438,564.0
full,unknown-unknown,48,60.0
2022,company-company,128,137.0
2022,company-education,1173,1263.0
2022,company-government,74,78.0
2022,company-healthcare,122,123.0
2022,company-nonprofit,64,67.0
2022,company-research_institute,297,301.0
2022,company-unknown,52,52.0
2022,education-education,8089,8682.0
2022,education-government,1235,1342.0
2022,education-healthcare,2374,2510.0
2022,education-nonprofit,820,858.0
2022,education-research_institute,4790,4998.0
2022,education-unknown,785,836.0
2022,government-government,87,103.0
2022,government-healthcare,209,211.0
2022,government-nonprofit,64,65.0
2022,government-research_institute,601,637.0
2022,government-unknown,83,91.0
2022,healthcare-healthcare,663,676.0
2022,healthcare-nonprofit,188,190.0
2022,healthcare-research_institute,622,632.0
2022,healthcare-unknown,242,248.0
2022,nonprofit-nonprofit,22,23.0
2022,nonprofit-research_institute,228,230.0
2022,nonprofit-unknown,50,50.0
2022,research_institute-research_institute,1005,1029.0
2022,research_institute-unknown,265,271.0
2022,unknown-unknown,28,29.0
2023,company-company,95,117.0
2023,company-education,1072,1230.0
2023,company-government,38,43.0
2023,company-healthcare,105,119.0
2023,company-nonprofit,66,73.0
2023,company-research_institute,177,192.0
2023,company-unknown,46,51.0
2023,education-education,6956,7993.0
2023,education-government,413,493.0
2023,education-healthcare,1662,2155.0
2023,education-nonprofit,713,777.0
2023,education-research_institute,1730,2001.0
2023,education-unknown,365,439.0
2023,government-government,11,11.0
2023,government-healthcare,35,35.0
2023,government-nonprofit,39,40.0
2023,government-research_institute,137,184.0
2023,government-unknown,15,24.0
2023,healthcare-healthcare,424,506.0
2023,healthcare-nonprofit,109,121.0
2023,healthcare-research_institute,198,235.0
2023,healthcare-unknown,94,105.0
2023,nonprofit-nonprofit,53,57.0
2023,nonprofit-research_institute,146,156.0
2023,nonprofit-unknown,45,51.0
2023,research_institute-research_institute,194,218.0
2023,research_institute-unknown,67,88.0
2023,unknown-unknown,10,12.0
2024,company-company,101,135.0
2024,company-education,1023,1234.0
2024,company-government,40,44.0
2024,company-healthcare,145,169.0
2024,company-nonprofit,56,58.0
2024,company-research_institute,144,153.0
2024,company-unknown,38,48.0
2024,education-education,6256,7594.0
2024,education-government,483,665.0
2024,education-healthcare,2219,2691.0
2024,education-nonprofit,486,547.0
2024,education-research_institute,1721,2040.0
2024,education-unknown,291,409.0
2024,government-government,24,32.0
2024,government-healthcare,63,76.0
2024,government-nonprofit,15,16.0
2024,government-research_institute,166,271.0
2024,government-unknown,22,36.0
2024,healthcare-healthcare,671,776.0
2024,healthcare-nonprofit,152,180.0
2024,healthcare-research_institute,291,366.0
2024,healthcare-unknown,126,174.0
2024,nonprofit-nonprofit,26,27.0
2024,nonprofit-research_institute,80,84.0
2024,nonprofit-unknown,21,30.0
2024,research_institute-research_institute,230,246.0
2024,research_institute-unknown,61,91.0
2024,unknown-unknown,9,14.0
2025,company-company,171,217.0
2025,company-education,1741,1910.0
2025,company-government,66,70.0
2025,company-healthcare,274,295.0
2025,company-nonprofit,84,88.0
2025,company-research_institute,278,301.0
2025,company-unknown,56,62.0
2025,education-education,9977,11602.0
2025,education-government,823,986.0
2025,education-healthcare,4176,4753.0
2025,education-nonprofit,680,721.0
2025,education-research_institute,2563,2873.0
2025,education-unknown,557,664.0
2025,government-government,25,35.0
2025,government-healthcare,140,145.0
2025,government-nonprofit,36,36.0
2025,government-research_institute,190,269.0
2025,government-unknown,25,39.0
2025,healthcare-healthcare,1482,1630.0
2025,healthcare-nonprofit,234,263.0
2025,healthcare-research_institute,535,610.0
2025,healthcare-unknown,239,275.0
2025,nonprofit-nonprofit,41,42.0
2025,nonprofit-research_institute,148,157.0
2025,nonprofit-unknown,45,46.0
2025,research_institute-research_institute,275,293.0
2025,research_institute-unknown,103,130.0
2025,unknown-unknown,10,13.0
