network,year,node_count,edge_count,density,average_degree,connected_components,largest_component_size,share_nodes_largest_component
researcher,full,64934,312015,0.00014800208842347595,9.610219607601564,9152,32305,0.49750515908460896
institution,full,7425,71650,0.0025996313711830954,19.2996632996633,548,6692,0.9012794612794612
researcher,2022,16777,66924,0.00047556421127330206,7.978065208320915,3733,3327,0.19830720629433152
institution,2022,3226,24464,0.004702874416682286,15.166769993800372,360,2683,0.8316800991940484
researcher,2023,17455,85562,0.0005616892323454667,9.803723861357778,2253,7700,0.44113434545975366
institution,2023,2609,15091,0.004435742721631351,11.568417018014564,347,2070,0.7934074357991567
researcher,2024,21419,96424,0.00042037514889685243,9.003594939072785,2930,7676,0.3583734067883655
institution,2024,2951,15038,0.0034548472508600936,10.191799390037275,329,2426,0.8220942053541173
researcher,2025,21782,89296,0.0003764319106966047,8.199063446882747,3607,4588,0.21063263244881095
institution,2025,3825,25038,0.003423578636475511,13.091764705882353,322,3299,0.862483660130719
