author_id,author_name,from_year,to_year,from_primary_affiliation,to_primary_affiliation,from_category,to_category,from_target_firm,to_target_firm,changed_affiliation,changed_category,changed_target_firm
A5000019783,Mark Harman,2022,2023,,Meta (United Kingdom),unknown,company,Other,Other,True,True,False
A5000019783,Mark Harman,2023,2024,Meta (United Kingdom),Meta (United Kingdom),company,company,Other,Other,False,False,False
A5000029432,Shuiping Yu,2024,2025,,,unknown,unknown,Other,Other,False,False,False
A5000036192,Daniel I. Schlessinger,2023,2025,Northwestern University,Northwestern University,education,education,Other,Other,False,False,False
A5000039831,Stevie Bergman,2023,2024,,Google (United States),unknown,company,Other,Google / Google DeepMind / DeepMind,True,True,True
A5000043237,Niklas Muennighoff,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5000043237,Niklas Muennighoff,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5000080119,Aykut Erdem,2022,2023,Saudi Heart Association,Koç University,nonprofit,education,Other,Other,True,True,False
A5000092822,Christopher T. Whitlow,2023,2025,Wake Forest University,Wake Forest University,education,education,Other,Other,False,False,False
A5000111344,Richard S. Zemel,2022,2023,,Amazon (United States),unknown,company,Other,Amazon,True,True,True
A5000115067,Donald Metzler,2022,2024,Google (United States),Google (United States),company,company,Google / Google DeepMind / DeepMind,Google / Google DeepMind / DeepMind,False,False,False
A5000115067,Donald Metzler,2024,2025,Google (United States),Google (United States),company,company,Google / Google DeepMind / DeepMind,Google / Google DeepMind / DeepMind,False,False,False
A5000122127,Zeynab Samei,2023,2024,,Institute for Research in Fundamental Sciences,unknown,research_institute,Other,Other,True,True,False
A5000126238,Yacine Jernite,2022,2023,Hugging Face,,company,unknown,Hugging Face,Other,True,True,True
A5000126238,Yacine Jernite,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5000141831,Yiyu Shi,2023,2025,University of Notre Dame,University of Notre Dame,education,education,Other,Other,False,False,False
A5000156461,David Chuan-En Lin,2024,2025,Carnegie Mellon University,Carnegie Mellon University,education,education,Other,Other,False,False,False
A5000171711,Milad Moradi,2023,2025,Austrian Research Institute for Artificial Intelligence,,research_institute,unknown,Other,Other,True,True,False
A5000173131,Anran Li,2024,2025,,Yale University,unknown,education,Other,Other,True,True,False
A5000174202,Moein Heidari,2022,2023,,Iran University of Science and Technology,unknown,education,Other,Other,True,True,False
A5000215116,Harald Kittler,2023,2025,Medical University of Vienna,Medical University of Vienna,education,education,Other,Other,False,False,False
A5000232528,Yang Feng,2024,2025,Guangxi University,Guangxi University,education,education,Other,Other,False,False,False
A5000245959,Lin Guo,2023,2024,Institute for Clinical Evaluative Sciences,Institute for Clinical Evaluative Sciences,nonprofit,nonprofit,Other,Other,False,False,False
A5000300751,Salman Khan,2023,2024,Mohamed bin Zayed University of Artificial Intelligence,Mohamed bin Zayed University of Artificial Intelligence,education,education,Other,Other,False,False,False
A5000300751,Salman Khan,2024,2025,Mohamed bin Zayed University of Artificial Intelligence,Mohamed bin Zayed University of Artificial Intelligence,education,education,Other,Other,False,False,False
A5000326701,Andres Ortega‐Guerrero,2023,2024,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,education,education,Other,Other,False,False,False
A5000341866,Sophia J. Wagner,2023,2024,Center for Environmental Health,Technical University of Munich,research_institute,education,Other,Other,True,True,False
A5000341866,Sophia J. Wagner,2024,2025,Technical University of Munich,Center for Environmental Health,education,research_institute,Other,Other,True,True,False
