id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000019783,0.00034376074252320387,6.0,0.0,4.103234368780119e-10,0
A5000036192,0.0004010541996104045,7.0,0.0,7.649702629427859e-10,1
A5000039831,0.0006875214850464077,12.0,0.0,8.319514621413699e-19,2
A5000043237,0.0005156411137848059,9.0,0.0,1.5239206800383639e-07,3
A5000043507,0.0,0.0,0.0,3.4717735040644275e-39,4
A5000045142,0.0,0.0,0.0,3.4717735040644275e-39,5
A5000048544,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,6
A5000058783,0.0004010541996104045,7.0,0.0,6.254191143687736e-23,7
A5000066408,0.0,0.0,0.0,3.4717735040644275e-39,8
A5000069468,0.0005156411137848059,12.0,2.0341508003051965e-05,5.446096578013533e-09,9
A5000080119,0.00045834765669760516,9.0,0.0,9.411954834863617e-24,10
A5000088252,0.0005729345708720064,10.0,0.00013561005335367978,8.5456516518243e-16,11
A5000092822,0.0004010541996104045,14.0,0.0,5.130905870978867e-18,12
A5000107414,0.0004010541996104045,7.0,0.0,1.214223053221604e-09,13
A5000111344,0.0005156411137848059,9.0,0.0,4.195180407409426e-09,14
A5000111662,0.000802108399220809,14.0,0.0,6.380922262418581e-06,15
A5000122127,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,16
A5000126238,0.001260456055918414,24.0,0.0005017571974086152,8.241275480661937e-12,17
A5000141831,0.00017188037126160193,3.0,0.0,2.430228077421125e-11,18
A5000145535,0.0018906840838776213,64.0,0.0,1.4292205099239446e-05,19
A5000166176,0.00034376074252320387,6.0,0.0,9.003665113428604e-22,20
A5000168148,0.0002864672854360032,5.0,0.0,1.901601283583678e-10,21
A5000171711,0.00045834765669760516,8.0,0.0,5.210945779263349e-22,22
A5000174202,0.00034376074252320387,6.0,0.0,3.2019167104996665e-20,23
A5000181951,0.00034376074252320387,6.0,0.0,1.4677330641169973e-12,24
A5000184834,0.00011458691417440129,2.0,0.0,3.792515121224155e-29,25
A5000205420,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,26
A5000215116,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,27
