id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000001330,0.00033881077418261904,22.0,0.0,1.2018240565636006e-07,104
A5000003126,0.00010780342814901514,7.0,0.0,4.557709073493508e-25,1
A5000005785,0.0,0.0,0.0,2.024029421174194e-40,2
A5000006086,0.0,0.0,0.0,2.024029421174194e-40,3
A5000015386,0.00013860440762016233,9.0,0.0,6.596316205809377e-08,4
A5000015851,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,5
A5000018396,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,6
A5000019246,7.700244867786796e-05,5.0,0.0,6.070606879345524e-27,7
A5000019783,0.00023100734603360388,23.0,4.919935763422901e-05,3.717566177760913e-09,8
A5000020627,7.700244867786796e-05,5.0,0.0,9.834295859553847e-27,9
A5000021633,6.160195894229437e-05,4.0,0.0,1.54421189969955e-28,10
A5000023371,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,11
A5000024164,7.700244867786796e-05,5.0,0.0,2.4603100305771424e-17,12
A5000024193,0.0001848058768268831,12.0,0.0,1.7508696326221448e-21,13
A5000026575,9.240293841344155e-05,6.0,0.0,3.9070567836909855e-08,14
A5000027382,7.700244867786796e-05,5.0,0.0,1.3224210267719787e-25,15
A5000029432,0.0,0.0,0.0,2.024029421174194e-40,16
A5000034124,0.00027720881524032466,18.0,0.0,1.1092464239572838e-18,17
A5000034409,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,18
A5000036192,0.00016940538709130952,18.0,0.0,2.2370434732671643e-07,104
A5000038422,0.00035421126391819264,23.0,0.0,6.255050030416436e-17,19
A5000039237,0.0005698181202162229,37.0,0.0,1.4539114728092942e-13,20
A5000039831,0.00023100734603360388,27.0,0.0,3.0424944533494784e-06,21
A5000043237,0.0010780342814901514,115.0,0.001175224136422217,4.949461128562333e-06,22
A5000043507,0.0,0.0,0.0,2.024029421174194e-40,23
A5000044758,7.700244867786796e-05,5.0,0.0,3.426005671834173e-27,24
A5000044759,0.00010780342814901514,7.0,0.0,1.6596306023625628e-23,25
A5000045048,1.5400489735573592e-05,1.0,0.0,2.6529358429214393e-35,26
A5000045142,0.0,0.0,0.0,2.024029421174194e-40,27
A5000048472,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,28
A5000048544,9.240293841344155e-05,6.0,0.0,1.8195973209627157e-14,29
A5000048871,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,30
A5000058783,0.00010780342814901514,7.0,0.0,4.557709073493508e-25,31
A5000061162,7.700244867786796e-05,5.0,0.0,1.2991029178185751e-11,485
A5000066408,0.0,0.0,0.0,2.024029421174194e-40,33
A5000067757,0.00016940538709130952,11.0,0.0,1.167632394533216e-11,34
A5000067976,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,35
A5000068327,0.00010780342814901514,7.0,0.0,4.557709073493508e-25,36
A5000069468,0.00013860440762016233,12.0,5.4288398427991094e-06,8.313446652473425e-09,246
A5000072353,0.00012320391788458874,8.0,0.0,9.352600211449975e-10,38
A5000074622,6.160195894229437e-05,4.0,0.0,1.85671720637127e-08,374
A5000080119,0.00012320391788458874,9.0,0.0,7.756148764320331e-26,40
A5000083284,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,41
A5000088252,0.00015400489735573593,10.0,3.619226561866073e-05,1.390732598629155e-11,454
A5000091089,0.0005390171407450757,35.0,0.0,7.468167661638818e-06,22
A5000092822,0.00016940538709130952,22.0,0.0,2.1516789644667122e-10,34
A5000094333,4.620146920672077e-05,3.0,0.0,9.419820079866485e-10,374
A5000095866,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,43
A5000099903,0.00010780342814901514,7.0,0.0,4.557709073493508e-25,44
A5000101528,9.240293841344155e-05,6.0,0.0,4.708510045729821e-26,45
A5000105147,0.00010780342814901514,7.0,0.0,3.231733790298237e-08,14
A5000107414,0.00010780342814901514,7.0,0.0,8.439141332065249e-09,462
A5000111344,0.00021560685629803028,23.0,2.884258330981213e-05,1.342395390477081e-08,1665
