id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I97018004,I97018004,Stanford University,education,education,Other,US,318,0.09267241379310345,1437.0,0.1965713087700567,0.1955268107477081,0
I136199984,I136199984,Harvard University,education,education,Other,US,206,0.09226831896551724,1451.0,0.1432564151160435,0.20482042720138602,0
I99065089,I99065089,Tsinghua University,education,education,Other,CN,305,0.06223060344827586,1054.0,0.1404705051595482,0.23437663194827474,4
I19820366,I19820366,Chinese Academy of Sciences,government,government,Other,CN,245,0.06734913793103448,1220.0,0.098378643453548,0.2652163846855801,4
I40120149,I40120149,University of Oxford,education,education,Other,GB,133,0.08674568965517242,1006.0,0.09138905524091384,0.11083797899467857,24
I63966007,I63966007,Massachusetts Institute of Technology,education,education,Other,US,164,0.06842672413793104,935.0,0.07088100659254645,0.14676557806783141,0
I172675005,I172675005,Nanyang Technological University,education,education,Other,SG,217,0.03892780172413793,714.0,0.06899586938018425,0.1436033810496911,4
I165932596,I165932596,National University of Singapore,education,education,Other,SG,183,0.060075431034482756,819.0,0.06845311566950417,0.14726431240213553,4
I889458895,I889458895,University of Hong Kong,education,education,Other,HK,218,0.05024245689655173,865.0,0.06303692195927249,0.21786763040785728,4
I74973139,I74973139,Carnegie Mellon University,education,education,Other,US,173,0.047009698275862065,612.0,0.06080905321658194,0.10237646416581751,0
I45129253,I45129253,University College London,education,education,Other,GB,121,0.07327586206896551,876.0,0.058855114027432986,0.10437950360749798,16
I177725633,I177725633,Chinese University of Hong Kong,education,education,Other,HK,153,0.05212823275862069,753.0,0.05869956030866119,0.17801144425454982,4
I1294671590,I1294671590,Centre National de la Recherche Scientifique,government,government,Other,FR,84,0.06667564655172414,728.0,0.05659732019085655,0.04338141341001011,1
I241749,I241749,University of Cambridge,education,education,Other,GB,110,0.07502693965517242,873.0,0.04530433679977002,0.10085559902262765,0
I201448701,I201448701,University of Washington,education,education,Other,US,155,0.06748383620689655,811.0,0.039705346372124445,0.10924327806758484,0
I185261750,I185261750,University of Toronto,education,education,Other,CA,122,0.051858836206896554,619.0,0.03716482946251779,0.05470408897125211,0
I183067930,I183067930,Shanghai Jiao Tong University,education,education,Other,CN,199,0.05105064655172414,784.0,0.03569929886086547,0.16108954832398215,4
I62916508,I62916508,Technical University of Munich,education,education,Other,DE,108,0.049703663793103446,585.0,0.03381183159384485,0.05609357474552975,17
I1291425158,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,US,197,0.04162176724137931,590.0,0.03379126608618023,0.08806416609161265,0
I20231570,I20231570,Peking University,education,education,Other,CN,207,0.05495689655172414,811.0,0.03333721167062205,0.16641150674527763,4
I95457486,I95457486,"University of California, Berkeley",education,education,Other,US,127,0.04458512931034483,617.0,0.032234650372488204,0.08447689854674571,0
I205783295,I205783295,Cornell University,education,education,Other,US,116,0.05374461206896552,661.0,0.027334571110828463,0.06861603238584944,0
I200769079,I200769079,Hong Kong University of Science and Technology,education,education,Other,HK,173,0.04566271551724138,713.0,0.02664944559712887,0.1866836670201375,4
I76130692,I76130692,Zhejiang University,education,education,Other,CN,191,0.04337284482758621,609.0,0.026007427106857512,0.10872989138321665,4
I74801974,I74801974,The University of Tokyo,education,education,Other,JP,66,0.05105064655172414,482.0,0.024237161282761814,0.041585681520098644,24
I4210087915,I4210087915,Massachusetts General Hospital,healthcare,healthcare,Other,US,78,0.04323814655172414,606.0,0.02279186978312911,0.09803771302060416,0
I78577930,I78577930,Columbia University,education,education,Other,US,119,0.0390625,478.0,0.017441012687019804,0.06877310719186962,11
I56590836,I56590836,Monash University,education,education,Other,AU,106,0.03596443965517241,371.0,0.01741610104733556,0.03903414399007022,2
I32971472,I32971472,Yale University,education,education,Other,US,97,0.05158943965517241,536.0,0.016701395018227976,0.06987147822676262,11
I4391012619,I4391012619,Shanghai Artificial Intelligence Laboratory,facility,research_institute,Other,,118,0.025323275862068964,497.0,0.015761468727402066,0.16294310257858893,4
