id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5053213601,A5053213601,Jared Kaplan,,,,unknown,Other,13,2022;2023;2024,0.0021406680732447294,385.0,0.0011964148766859363,0.22354173191517704,261
A5054887773,A5054887773,Sam McCandlish,,,,unknown,Other,11,2022;2023,0.0016940538709130952,329.0,0.00013148305212745987,0.21059425965406653,261
A5030305998,A5030305998,Amanda Askell,Saudi Heart Association,I4210103399,nonprofit,nonprofit,Other,13,2022;2023;2024,0.0022176705219225973,357.0,0.0003193355680328669,0.21042172733692577,261
A5056436767,A5056436767,Anna Chen,,,,unknown,Other,10,2022;2023,0.0016170514222352272,313.0,5.278803217462064e-07,0.2027486182928939,261
A5028970835,A5028970835,Kamal Ndousse,,,,unknown,Other,11,2022;2023;2024,0.0019404617066822727,327.0,6.514607811358932e-05,0.2023991887150873,261
A5091860006,A5091860006,Yuntao Bai,,,,unknown,Other,10,2022;2023;2024,0.0018634592580044046,322.0,0.0,0.20237174269471433,261
A5009112681,A5009112681,Shauna Kravec,,,,unknown,Other,10,2022;2023;2024,0.0018634592580044046,322.0,0.0,0.2023717426947143,261
A5049786610,A5049786610,Tom Henighan,,,,unknown,Other,10,2022;2023;2025,0.0019096607272111254,313.0,7.308613071267138e-05,0.19337791294830217,261
A5020683620,A5020683620,Nelson Elhage,,,,unknown,Other,9,2022;2023,0.0014938475043506385,284.0,0.0,0.19148357915085676,261
A5032088236,A5032088236,Nicholas Joseph,,,,unknown,Other,10,2022;2023,0.0016478524017063743,300.0,4.798073603319079e-05,0.1907133294282909,261
A5047846683,A5047846683,Liane Lovitt,,,,unknown,Other,10,2022;2023;2024,0.0014784470146150647,271.0,2.310144613957068e-07,0.18212090750908722,261
A5041888075,A5041888075,Scott G. Johnston,,,,unknown,Other,8,2022;2023,0.0013398426069949024,249.0,0.0,0.17271134377848282,261
A5059021264,A5059021264,Dawn Drain,,,,unknown,Other,8,2022;2023,0.0013398426069949024,249.0,0.0,0.17271134377848282,261
A5074565235,A5074565235,Tom Brown,,,,unknown,Other,8,2022;2023,0.0013398426069949024,249.0,0.0,0.17271134377848282,261
A5110949689,A5110949689,Ben Mann,,,,unknown,Other,8,2022;2023,0.0013398426069949024,249.0,0.0,0.17271134377848282,261
A5066197394,A5066197394,Dario Amodei,,,,unknown,Other,8,2022;2023,0.0013398426069949024,249.0,0.0,0.17271134377848282,261
A5006294201,A5006294201,Deep Ganguli,,,,unknown,Other,11,2022;2023;2024,0.0017556558298553895,273.0,6.782081699346967e-05,0.16919887345308907,261
A5108225540,A5108225540,Catherine Olsson,,,,unknown,Other,8,2022;2023,0.001278240648052608,240.0,0.0,0.1671590257668042,261
A5070402589,A5070402589,Zac Hatfield-Dodds,,,,unknown,Other,9,2022;2023,0.0015554494632929329,259.0,4.776703747057699e-05,0.16196900951741797,261
A5050348824,A5050348824,Nicholas Schiefer,,,,unknown,Other,9,2022;2023;2024,0.0018326582785332575,279.0,7.385029726831887e-05,0.1573375599850419,261
A5091112967,A5091112967,Ethan Perez,New York University,I57206974,education,education,Other,16,2022;2023;2024,0.0025872822755763636,336.0,0.0008889249132127333,0.15406738187797225,261
A5011636042,A5011636042,Andy Jones,,,,unknown,Other,7,2022,0.0011242357506968722,202.0,0.0,0.144690996077382,261
A5082696325,A5082696325,Stanislav Fort,,,,unknown,Other,6,2022,0.0011242357506968722,202.0,0.0,0.14469099607738198,261
A5012713248,A5012713248,Jack A. Clark,,,,unknown,Other,7,2022;2023;2024,0.0014476460351439176,214.0,0.0,0.13893814196561946,261
A5061506488,A5061506488,Saurav Kadavath,,,,unknown,Other,7,2022;2023,0.0013090416275237553,211.0,1.3391121502255133e-07,0.1361248077817981,261
A5030442997,A5030442997,Danny Hernandez,Saudi Heart Association,I4210103399,nonprofit,nonprofit,Other,6,2022;2023,0.0010780342814901514,151.0,0.0,0.10647789334433262,261
A5039751155,A5039751155,Chris Olah,,,,unknown,Other,4,2022,0.0006930220381008116,129.0,0.0,0.09901327712021937,261
A5112713734,A5112713734,Samuel R. Bowman,New York University,I57206974,education,education,Other,14,2022;2023;2024;2025,0.002602682765311937,259.0,0.0002917157826203855,0.08872732544418849,261
A5001194068,A5001194068,Timothy Telleen-Lawton,,,,unknown,Other,5,2022;2023,0.0012628401583170345,155.0,1.2256606037680736e-07,0.08748882303340608,261
A5051064337,A5051064337,Robin J. Larson,,,,unknown,Other,5,2022;2023,0.0012628401583170345,155.0,1.2256606037680736e-07,0.08748882303340608,261
